Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;1.41719323326875;-0.849741927746697;1.6524218602383;-30.9466896814688;133.304470663439
2;93260;1.41544736659973;-0.795264563711292;1.62355688964354;-29.3293151749892;131.989445666759
3;86975;1.41480046831181;-0.744808266044893;1.59887451612192;-27.7641357282077;130.639419670167
4;81113;1.41340839141539;-0.698054766022977;1.57638946243967;-26.2838654200057;129.314396673513
5;75646;1.41249276485375;-0.653925835521492;1.55652009595979;-24.8421886793838;128.049372676706
6;70548;1.4121063277105;-0.61283190600322;1.5393528594106;-23.4600841504027;126.739348680014
7;65793;1.41362053382893;-0.57447346882095;1.52589081524268;-22.1160624721125;125.46932468322
8;61359;1.41122628173412;-0.538538783108826;1.51049119135778;-20.8873800782486;124.074298686743
9;57224;1.41378197716141;-0.505328624623444;1.50137819945883;-19.6684328469776;122.849276689835
10;53367;1.40863916570109;-0.473469494724607;1.48608131055533;-18.5784421907934;121.604251692979
11;49770;1.40655585141941;-0.444519114153543;1.47512596276048;-17.5382940959642;120.22922869645
12;46416;1.40838749498768;-0.416959735978247;1.46881270333039;-16.4916352175733;118.919203699758
13;43288;1.40850622849832;-0.39126922075804;1.46184178310485;-15.5247715186947;117.549177703217
14;40370;1.40455751285655;-0.366570783258884;1.45160461078795;-14.6271557187323;116.184153706663
15;37649;1.40532191262207;-0.343795840613313;1.44676371882861;-13.7467593334169;114.984130709693
16;35112;1.40421681811196;-0.322659584765959;1.44081021647885;-12.9407396310575;113.589104713215
17;32745;1.40219762638783;-0.302123903922294;1.43437688100753;-12.1593194073902;112.304080716459
18;30539;1.39835102899622;-0.28310720616085;1.42672186864679;-11.4452788483614;111.014057719716
19;28480;1.39902073886213;-0.265568941197093;1.42400347271167;-10.7482826287869;109.709033723011
20;26561;1.39793163542014;-0.24866137801716;1.41987511360183;-10.0861680337291;108.419007726268
21;24771;1.39797396323631;-0.232961290541325;1.41725162366367;-9.46095162431722;106.983982729891
22;23101;1.39736693777734;-0.218103060456421;1.41428543928504;-8.87123196233691;105.61395773335
