Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;1.74985696421432;-0.913205890411081;1.97381468063515;-27.558911962711;132.062446666574
2;93260;1.74964710625827;-0.855217876318567;1.94747595939277;-26.0491301496571;130.807424669743
3;86975;1.7474397494157;-0.800331548019023;1.92199798766609;-24.607892020606;129.442399673189
4;81113;1.7457837162139;-0.749323091334963;1.89980153674151;-23.2299164345564;128.082370676623
5;75646;1.74432034236807;-0.701900570324389;1.88024409782899;-21.9194603372699;126.832348679779
6;70548;1.74299739132312;-0.657613161663291;1.86292645494984;-20.670922736448;125.612324682859
7;65793;1.74123736632055;-0.616441760408313;1.84713508164569;-19.4952418441824;124.37230268599
8;61359;1.73904226282304;-0.577633066779614;1.83246499331417;-18.3742092184224;123.007277689436
9;57224;1.73780470778147;-0.541704582314639;1.82027719232212;-17.3131837015316;121.652252692858
10;53367;1.73487360790169;-0.507634372269296;1.80761696476412;-16.3097908734539;120.417230695976
11;49770;1.73269107257617;-0.475879857226218;1.79685280184516;-15.3574908024688;119.057204699409
12;46416;1.73051048271118;-0.446162229071504;1.78710023933279;-14.4572209363968;117.652179702957
13;43288;1.72884860374247;-0.418376090692561;1.77875126083595;-13.6038695298317;116.292152706391
14;40370;1.72551502921638;-0.392033164038942;1.76948922510367;-12.8001821183504;115.032133709572
15;37649;1.72368526444468;-0.367500056671273;1.76242650414624;-12.0355973937439;113.747108712816
16;35112;1.72204002512164;-0.344643613307671;1.75618936003914;-11.3174699367441;112.50208271596
17;32745;1.72019918742023;-0.322979532012567;1.75025741606779;-10.6338825321094;111.272059719065
18;30539;1.71867332296518;-0.30283476524998;1.74514953116235;-9.99309010256435;110.017038722234
19;28480;1.71668994159239;-0.283780230124728;1.7399872340262;-9.38648726654397;108.667012725642
20;26561;1.71552443845122;-0.265936283679739;1.73601446016465;-8.81171128879828;107.391989728861
21;24771;1.7133689541991;-0.248999634852314;1.73136766498912;-8.26876461177451;106.031964732295
22;23101;1.7124882299959;-0.233230657646426;1.72829756626013;-7.7556249593127;104.766940735489
23;21544;1.71064717221877;-0.218394700126662;1.72453181845494;-7.27547327163037;103.421916738885
24;20092;1.70986596359042;-0.20436381124146;1.72203547605446;-6.81568116288331;102.166890742053
25;18738;1.70857655108947;-0.191155848803941;1.71923657169825;-6.38371498597922;100.916867745209
26;17475;1.70668584305582;-0.178955542148766;1.7160424391468;-5.98590867539869;99.5718447486053
27;16298;1.70681268157132;-0.16737681767021;1.71499986270148;-5.60074381800311;98.3568207516729
28;15199;1.70649126692965;-0.156612365573685;1.71366270810733;-5.24360234576907;97.1167997548037
29;14175;1.70422981985651;-0.146399597510103;1.71050639315943;-4.90986410950409;95.8767767579344
30;13219;1.70363306303059;-0.136768412258849;1.70911416003812;-4.58988676259912;94.6017537611535
31;12328;1.70355848067711;-0.127951568474117;1.70835684239619;-4.29532995866465;93.2617277645368
32;11498;1.70314804885681;-0.11959698851009;1.70734200322766;-4.01678104918358;92.0167037676802
33;10723;1.70193959270269;-0.111957223080106;1.70561801028507;-3.76361630275658;90.7416797708993
34;10000;1.70147950507501;-0.104331791554364;1.70467522681573;-3.50888515608428;89.4716587741058
35;9326;1.70135983981317;-0.0974713394759301;1.70414963150198;-3.27890565455801;88.1416317774638
36;8697.5;1.70097830156995;-0.0910389997093193;1.70341283366066;-3.06363599102666;86.8766107806576
37;8111.3;1.70102838074183;-0.0851096250695398;1.70315624661058;-2.86436088878734;85.6365867837884
38;7564.6;1.70028777808401;-0.0793532936658172;1.70213850009847;-2.67208418416654;84.3215617871085
39;7054.8;1.70005101781389;-0.0742070874346207;1.70166981374048;-2.49936951785165;83.0865407902267
40;6579.3;1.70048668627902;-0.0693268090937897;1.70189928511394;-2.33458756480709;81.8215177934205
41;6135.9;1.69971406744563;-0.0647128788766075;1.7009455216923;-2.18035782999249;80.5964917965134
42;5722.4;1.69983764249325;-0.0604289443929757;1.70091142278411;-2.03599799296238;79.3714717996063
43;5336.7;1.69906465699244;-0.0564302364647531;1.70000149418414;-1.9022385853955;78.1114458027876
44;4977;1.69911842602254;-0.052619600610957;1.69993301280309;-1.77381265543791;76.8714248059183
45;4641.6;1.69932942413484;-0.0491509124038426;1.70004008891572;-1.656744645386;75.6213998090743
