Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;-924.532796944096;21344.6844448428;21364.6978668676;92.4801836330165;49.9189238739668
2;79433;-1297.27189488817;27167.2392068953;27198.1948021176;92.7338732109813;48.6239018772364
3;63096;-1598.80201561218;34647.1939227996;34684.0628330824;92.642051491122;47.3138748805439
4;50119;-1831.30273250261;44158.4868788099;44196.4436705499;92.3747604260155;46.0088508838388
5;39811;-2088.96203882271;56155.0295531884;56193.870720205;92.1304154836165;44.7888328869191
6;31623;-2091.30969205283;71236.1944354581;71266.8855351099;91.6815723278049;43.5738078899867
7;25119;-2082.7417312129;90162.1047434493;90186.1571688674;91.3232953308663;42.3387828931048
8;19953;-2263.01620019113;113805.876486198;113828.374165294;91.1391695716873;41.1287598961599
9;15849;-1638.84195772096;143663.891226294;143673.238444892;90.653571707931;39.9087378992401
10;12589;-1136.841936727;180665.361138019;180668.937907765;90.3605305679424;38.7787189020931
11;10000;-608.507157009811;227295.821845548;227296.63637943;90.1533895710141;36.5886759076225
12;7943.3;1432.43828536797;285865.906589102;285869.495451072;89.7129004216105;35.3736539106901
13;6309.6;2229.88688862373;358270.062033277;358277.001417707;89.6433934305526;34.1436329137956
14;5011.9;6671.71452914179;451401.171857253;451450.473173813;89.153229372681;32.9486109168128
15;3981.1;7139.84123118358;565445.762974017;565490.838297204;89.2765689363605;31.7385869198678
16;3162.3;9383.22694625194;712945.758056347;713007.502680347;89.2459619014267;30.5485649228723
17;2511.9;5804.79003901179;900153.090797039;900171.807189527;89.6305235593578;29.3235419259652
18;1995.3;34966.5190727493;1110831.40563881;1111381.60377503;88.1970507420546;28.1535199289192
19;1584.9;13559.1291167122;1400676.12377217;1400741.75124747;89.4453702800039;26.9785009318858
20;1258.9;-132697.995001001;1976736.16783479;1981185.15921744;93.8404948290248;25.7534759349787
21;1000;59521.6809633786;2166474.54518602;2167292.03972231;88.4262527152471;24.4584529382483
22;794.33;301601.38026471;2846934.89674468;2862865.99387401;83.9526993128382;23.2534289412907
23;630.96;282530.549126029;3504399.33792356;3515769.93428588;85.3906875787209;22.0584069443079
24;501.19;-308238.645110095;5199817.59776209;5208945.58546503;93.3924517832127;20.8833859472745
25;398.11;587264.604673162;3721459.63665718;3767511.31958094;81.032394938882;19.6683629503422
26;316.23;170916.195471253;5429784.95003727;5432474.29349883;88.1970659387539;18.4733429533593
27;251.19;-1518616.02413554;6184515.17472886;6368235.4365407;103.796097867849;17.2933219563386
28;199.53;364276.462293499;6407405.29482431;6417751.93920142;86.7460993214512;16.0932969593683
29;158.49;-565138.550231507;10700558.1416968;10715471.3440329;93.0232066035277;14.8832759624233
30;125.89;-2697906.06411317;2669077.07204455;3795084.91964179;135.307763904782;13.7732559652259
31;100;-1798230.03049288;4034520.93951037;4417124.68172611;114.02305480828;11.7782209702629
