Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;-1429.38714601914;25665.9745347873;25705.7463698986;93.1876185614355;50.2429318731488
2;79433;-1925.16143789775;32829.747717224;32886.1457416119;93.3560248870142;48.942907876431
3;63096;-2408.62257000047;41923.9445673254;41993.0778911107;93.2881535866673;47.6578838796754
4;50119;-2919.83033019391;53562.8172812735;53642.3415248086;93.1202343085418;46.3578568829577
5;39811;-3381.13213198326;68228.9469538396;68312.6727403034;92.8370107158777;45.1678378859622
6;31623;-3467.94939692181;86715.2707466718;86784.5888028987;92.2901737090085;43.9828138889541
7;25119;-3355.22783017678;109942.257239732;109993.442898928;91.7480152840947;42.7727918920091
8;19953;-3492.61982780666;138846.842604787;138890.763172286;91.4409415508101;41.5527708950893
9;15849;-3413.90844487239;175591.40385225;175624.587907485;91.1138239150865;40.3477488981317
10;12589;-2586.15395394243;221249.424297467;221264.538379366;90.6696919522622;39.2127299009974
11;10000;-1922.80825653307;277241.819313909;277248.487043803;90.3973680154912;37.1176879062868
12;7943.3;-186.752720991047;349515.003066246;349515.052959063;90.0306142557922;35.9126649093292
13;6309.6;1926.62442635897;438082.661531261;438086.898019096;89.7480230413898;34.712644912359
14;5011.9;6706.95113462501;554525.51780517;554566.076397226;89.3070449523639;33.5176209153761
15;3981.1;9587.01012879402;698015.709817018;698081.543886217;89.2131112883915;32.3425989183428
16;3162.3;27383.3650928702;875226.600610218;875654.869854286;88.207961679861;31.1325779213978
17;2511.9;-1062.09169416548;1068414.22548464;1068414.7533878;90.0569567027797;29.9275559244402
18;1995.3;17239.6289029436;1346391.72500458;1346502.09133351;89.2664066613659;28.7725329273563
19;1584.9;53644.064360545;1706509.64996151;1707352.59130997;88.1995023050665;27.6075119302977
20;1258.9;-260657.162507789;2125939.23392302;2141858.95490339;96.9900339702965;26.4224909332896
21;1000;30728.3891464412;2861886.28758155;2862051.24988125;89.3848325266677;25.137465936534
22;794.33;-371190.722272902;3567384.63235801;3586644.06757704;95.9403193572167;23.9574439395133
23;630.96;118892.996226746;3996763.07500164;3998531.05805724;88.296106500175;22.7724229425052
24;501.19;-62724.2563089601;5765728.3183945;5766069.4908981;90.6232852462408;21.6123999454339
25;398.11;1825470.77945715;8697727.92996106;8887227.61665732;78.1468588669374;20.3973789485016
26;316.23;2314428.75143528;15772321.0275518;15941226.1461163;81.6520010668337;19.1673569516071
27;251.19;5140266.26763856;14367043.6713578;15258908.2557346;70.313716733895;17.9673349546368
28;199.53;2044631.01470222;5856179.45559368;6202850.45784595;70.7538231214638;16.7873109576161
29;158.49;-406766.95095497;11906322.8435812;11913269.1990054;91.9566887930151;15.5672899606964
30;125.89;7315554.41900182;-228394.818946819;7319118.8438704;-1.7882185264855;14.4172679635999
31;100;2635308.68277713;2076241.15776515;3354941.01270328;38.2329847106517;12.4622339685359
