Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;-8993.72321401811;55841.8479010869;56561.4624480175;99.1493198411159;50.8869428715228
2;79433;-12351.0306783393;73013.7659680161;74051.0498213868;99.6012790272147;49.5869188748051
3;63096;-16153.6077243734;95448.0498486106;96805.3162921117;99.6057065065759;48.2218928782514
4;50119;-20427.2620901944;124861.741608269;126521.648558465;99.2912263292997;46.8168668817988
5;39811;-24958.6210684657;162901.30649986;164802.210012489;98.7107285982772;45.6168448848285
6;31623;-28361.9978468273;211538.00186982;213430.853338826;97.6364021232737;44.386821887934
7;25119;-31092.5014294272;271189.65607976;272966.249213704;96.540530494024;43.1168018911405
8;19953;-35511.2519521309;347973.454848132;349780.751749082;95.8269541933995;41.8817778942587
9;15849;-38556.1502588104;445246.245880379;446912.515145135;94.9491884575971;40.6467548973768
10;12589;-36657.3927736848;567642.554017601;568824.958644212;93.6949335046132;39.5167339002298
11;10000;-41115.963476051;718143.873672902;719319.918914029;93.2767838128065;37.4516929054436
12;7943.3;-41538.0196374444;902782.495284424;903737.595138861;92.63438412481;36.2216709085491
13;6309.6;-29664.3163945706;1141485.09275131;1141870.47804934;91.4886376358344;34.9916479116546
14;5011.9;-53139.9663210491;1456889.09032191;1457857.90717738;92.0889350100888;33.7816279147096
15;3981.1;-49017.7886226657;1826156.5469809;1826814.2975362;91.5375670821557;32.6016039176889
16;3162.3;-44014.6937448122;2287794.1542694;2288217.51273228;91.1021730731993;31.3615829208196
17;2511.9;-194560.859960429;2727075.91602515;2734007.49450197;94.0808031996172;30.1265599239377
18;1995.3;154301.622598166;3596534.30878102;3599842.77781341;87.5433535004021;28.9615359268792
19;1584.9;-56349.4840790143;4847541.75733745;4847869.25911644;90.6659957495046;27.776516929871
20;1258.9;2480743.04084725;4943025.67650007;5530604.74751641;63.3494212006101;26.5764929329008
21;1000;19485.646001444;8246756.99525659;8246780.01581306;89.8646203350075;25.2664699362083
22;794.33;-1511326.56406179;7191364.48908637;7348457.74282817;101.868478101727;24.0764469392128
23;630.96;1612237.87379146;11964945.2999838;12073078.6046183;82.3258013596814;22.8864259422173
24;501.19;5536445.34833644;13969078.5508116;15026223.1666464;68.3798064262063;21.7064019451966
25;398.11;12596450.4025983;25653677.8373299;28579393.7886483;63.8480716608527;20.5113809482137
26;316.23;4523047.96338059;9004337.52442241;10076510.1663603;63.328761760681;19.2963579512814
27;251.19;63176880.7553206;31838945.5286031;70746284.1027382;26.7465113742716;18.1113379542733
28;199.53;-14187673.228305;-1235565.36389593;14241372.5954215;-175.022825716133;16.8913149573535
29;158.49;22908488.2350904;32143926.9995954;39471899.8297852;54.5231053931189;15.6262899605474
30;125.89;-6200139.6309366;6150219.37997634;8733093.94573007;135.231588742747;14.4962699634004
31;100;-3369063.84499859;5080314.90826145;6095915.9081126;123.550763104707;12.4462339685763
