Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;-11626.1787669015;63365.3464856565;64423.094989043;100.396904614464;50.7219418719394
2;79433;-15956.6966916517;83097.9367647703;84616.0934094167;100.869784036656;49.3519158753984
3;63096;-21127.561682102;109051.926686676;111079.685706736;100.964564145649;48.0018918788069
4;50119;-27045.6984873861;143508.066811315;146034.362554132;100.67284676957;46.6518648822154
5;39811;-32703.4907979713;188095.413614436;190917.267247252;99.8632183395462;45.4018428853714
6;31623;-37669.0976155134;244452.651661894;247337.946582602;98.7601279791368;44.1768208884642
7;25119;-43682.4895351816;317003.124113503;319998.657168608;97.8458496624775;42.9517958915571
8;19953;-48566.5032502482;407498.534851111;410382.457158878;96.7965681057461;41.7017738947131
9;15849;-50697.7129160997;519289.238206656;521758.153757248;95.5760611515815;40.4867528977808
10;12589;-52534.1829229892;665600.28462243;667670.262378703;94.5128585387583;39.3567299006338
11;10000;-55973.8556554227;838754.91423175;840620.531907736;93.8179418596789;37.2416909059738
12;7943.3;-68431.7778645032;1057575.91396491;1059787.58344321;93.7022341742836;36.0566679089657
13;6309.6;-54838.2716629811;1329778.39530464;1330908.64324264;92.3614628005496;34.8566489119954
14;5011.9;-41607.6408781621;1727739.51147488;1728240.43908563;91.3795375445615;33.6716239149873
15;3981.1;-14903.095624119;2113438.30173411;2113490.84632414;90.4040195200208;32.496601917954
16;3162.3;5196.6728471717;2737632.79474395;2737637.72699499;89.8912392251433;31.3165799209332
17;2511.9;-187010.667903658;3291741.57184466;3297049.52430504;93.2515968112012;30.1315599239251
18;1995.3;-413621.626828401;3840261.71709715;3862472.38255267;96.1474365479114;28.9765389268413
19;1584.9;-335813.24402981;5242097.98249655;5252843.2103919;93.6654076953369;27.7915169298332
20;1258.9;-727532.898079393;4940235.6747671;4993519.06374946;98.3775519602409;26.5564939329513
21;1000;959775.030297254;7517434.64350243;7578455.76144062;82.7242261750111;25.2214719363219
22;794.33;-2885918.55440889;11809899.3438714;12157394.8037832;103.731938715623;24.0064459393896
23;630.96;-1207935.59111812;14795715.4538618;14844942.040437;94.6673280092462;22.7964229424446
24;501.19;-877873.376025015;20356685.7799702;20375605.9445793;92.4693260090416;21.6164009454238
25;398.11;-2480427.82739581;10899599.0142792;11178272.7144669;102.820491317173;20.4163799484536
26;316.23;46991853.4232883;5390344.84828215;47300001.1177506;6.54368785970105;19.1613569516222
27;251.19;-14504061.2047199;3195832.17946352;14851974.1027769;167.573973936724;17.961334954652
28;199.53;-5496471.10001112;13522133.3831338;14596550.475524;112.120738024668;16.791311957606
29;158.49;-3131799.06579969;25578260.5156761;25769275.8221169;96.9805435581081;15.5312879607873
30;125.89;5591983.00541969;-1897611.16085547;5905184.33672531;-18.7443836852975;14.4262689635772
31;100;4076731.75597795;1391743.53486564;4307747.88921536;18.8492415339594;12.4512349685637
