Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;-422.707222234078;14577.0129440732;14583.1405317032;91.6610093351417;49.4819178750702
2;79433;-545.058690945918;18531.5682059485;18539.5822269084;91.6847231396267;48.1918918783272
3;63096;-655.733726303248;23525.63738752;23534.7742969609;91.5966007287228;46.8668678816725
4;50119;-747.131197439319;29851.1142776653;29860.4626327929;91.4337330488632;45.5518448849926
5;39811;-793.82241675128;37779.2976590373;37787.6366770863;91.2037275728383;44.3668208879845
6;31623;-788.96322636877;47793.0259973444;47799.5376228201;90.9457479740254;43.0617968912794
7;25119;-584.821129989225;60037.7566138629;60040.6048851902;90.5580941839625;41.766774894549
8;19953;-565.723035826503;76020.6870383725;76022.7919793758;90.4263700482981;40.5717498975662
9;15849;-273.969570089042;95637.6699085672;95638.0623228294;90.1641325761856;39.3717279005959
10;12589;75.0920418354645;120405.068140911;120405.091556927;89.964266815502;38.2517089034237
11;10000;436.2314083615;150985.578667446;150986.208851621;89.8344600241715;36.1916719086248
12;7943.3;1006.80448712117;189844.346425649;189847.016107857;89.6961452463762;34.996649911642
13;6309.6;2881.96666309355;239160.852205259;239178.215896417;89.3096004924429;33.8016269146591
14;5011.9;3982.94073231808;300597.378999588;300623.764992555;89.2408704918835;32.6366039176005
15;3981.1;6585.11823440549;377169.308427006;377226.789877743;88.9997564915992;31.4665829205545
16;3162.3;7211.84836994586;473142.990066833;473197.949917679;89.1267407807928;30.2615619235969
17;2511.9;2070.46556568067;594630.581332122;594634.185935384;89.8005005748878;29.0615379266267
18;1995.3;23834.2077537288;750084.908115753;750463.482684045;88.1800191245489;27.9315179294797
19;1584.9;22424.3501170252;942529.554066272;942796.272673231;88.6370949586143;26.7664949324211
20;1258.9;-4440.42021978849;1235378.56182119;1235386.54207463;90.2059419274993;25.5664749354509
21;1000;43435.126211582;1447832.33137187;1448483.7140799;88.281635819739;24.2664489387331
22;794.33;-39862.3049267155;1692043.84719155;1692513.33352883;91.3495628028763;23.1014299416745
23;630.96;90408.2920708464;2282935.1309266;2284724.59418943;87.7321702645757;21.911407944679
24;501.19;-252918.917677856;3242408.72803835;3252258.03689969;94.460234318567;20.7263829476709
25;398.11;-131718.289491231;3203788.38568637;3206494.92874157;92.3542922591886;19.5513609506376
26;316.23;-970042.374519828;5314096.28517118;5401907.21286789;100.344950613121;18.3513419536673
27;251.19;-387191.140054374;7077174.19333983;7087757.86421996;93.1315216151646;17.1963199565835
28;199.53;-1016373.76003519;5838818.66734571;5926619.5297347;99.8746365512922;16.006296959588
29;158.49;-1133683.87319782;10262210.47828;10324640.5760621;96.3040006259443;14.8012749626304
30;125.89;3292133.89030754;2994490.13436975;4450294.00338328;42.289323252615;13.6112519656349
31;100;-3262333.5803323;1964698.57071018;3808262.18413522;148.942085834394;12.4662339685258
