Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;-533.8679822037;16181.2675042112;16190.0720525038;91.8896721523262;51.1249458709219
2;79433;-693.503121028044;20583.707723331;20595.3871101854;91.929670680249;49.8399218741663
3;63096;-847.36661450637;26183.2122669612;26196.9203303771;91.8536148607535;48.5348998774612
4;50119;-954.721537929873;33188.6388778073;33202.3680447117;91.6477455943082;47.2048758808191
5;39811;-1017.11930189457;42058.2894122372;42070.5863990245;91.3853460787354;46.019850883811
6;31623;-976.276732327274;53143.2335181516;53152.2001898593;91.0524433960002;44.7348298870554
7;25119;-913.524653906461;67049.2375575275;67055.4605109759;90.78058857474;43.6348088898327
8;19953;-658.364075922216;84576.9738205719;84579.536200562;90.4459927964021;41.604771894958
9;15849;-521.160089626402;106553.284765539;106554.559274416;90.2802357106442;40.3997518980004
10;12589;36.0936796450585;134136.895504942;134136.900361002;89.9845827991392;39.3047289007651
11;10000;413.268525253722;168048.214341991;168048.722501558;89.8590970177147;37.2446899059662
12;7943.3;1529.62668648897;211660.635240347;211666.162312608;89.5859427163431;36.0646689089455
13;6309.6;2475.26916723533;265955.85706446;265967.375563887;89.4667596974151;34.8896479119121
14;5011.9;3655.54853984124;333774.773540962;333794.790983094;89.3725136050541;33.7146269148788
15;3981.1;6159.41261154607;421204.475107343;421249.508265792;89.1622045455778;32.5446039178328
16;3162.3;188.556011716475;524579.77605571;524579.809943185;89.9794054904496;31.2745799210393
17;2511.9;12685.3402618462;666375.330612664;666496.060833592;88.9094303925088;30.0945569240185
18;1995.3;19781.9558402707;850452.859806545;850682.897753327;88.6675119962261;28.9445359269221
19;1584.9;8248.07494048806;1047690.19492837;1047722.6614373;89.5489409726075;27.7695149298887
20;1258.9;26563.8761674389;1421687.98575052;1421936.13370798;88.9295675813258;26.6044939328301
21;1000;7274.29576075809;1581748.75493342;1581765.48170462;89.7365046083092;25.339469936024
22;794.33;-36568.8079393562;1925617.52704533;1925964.7292145;91.0879556826785;24.1644469389906
23;630.96;95486.715434141;2608643.90920061;2610390.92050096;87.903683096448;22.9794269419825
24;501.19;392159.701948605;3146529.32725489;3170873.07205878;82.8957188972362;21.8394049448608
25;398.11;1407878.23747863;3773364.06343406;4027455.46055838;69.5389737459157;20.6643819478275
26;316.23;-1272778.67441091;6111160.64219984;6242295.24684691;101.76487622535;19.4793599508193
27;251.19;1265622.47144537;8569456.24304177;8662411.93557748;81.5987222903962;18.3093409537734
28;199.53;-2646616.53509764;9418029.12211115;9782834.53957931;105.696210751817;17.1093189568031
29;158.49;867876.1852437;8160726.71768372;8206745.37399754;83.929530718861;15.884295959896
30;125.89;8681943.60962969;-7381039.14338679;11395432.5796346;-40.3698504588035;14.794274962648
31;100;6106067.27992488;-2940871.31361439;6777372.77344321;-25.7169080998859;12.7442389678239
