Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;-9252.80173487344;55140.9768494691;55911.9098927819;99.5256381523739;50.9909448712602
2;79433;-12614.9600475161;70742.0141809527;71857.9834630679;100.110902018428;49.6109198747445
3;63096;-16847.301230997;92743.2728545863;94261.0535616285;100.295808925121;48.2708948781277
4;50119;-21514.353376637;121769.529954534;123655.51272209;100.01966690628;46.9208678815362
5;39811;-25932.5968600933;159300.592946727;161397.578956709;99.2460924913079;45.7008458846165
6;31623;-29935.33157597;206976.71074555;209130.301170371;98.2297018470199;44.4208218878482
7;25119;-32647.558113881;266687.544635739;268678.450037658;96.9793514367124;43.1457988910673
8;19953;-36174.4212482004;343085.219051537;344987.037849661;96.0189470590905;41.850773894337
9;15849;-38599.1425268575;438120.032945322;439817.07228326;95.0348586951831;40.6107508974677
10;12589;-36620.3345596785;555231.413738604;556437.751869364;93.7734826444208;39.4007299005227
11;10000;-39215.0645230126;703807.962650543;704899.616665985;93.1891325142574;37.2756899058879
12;7943.3;-40162.0109464483;890175.254637388;891080.788195998;92.5832601827466;36.0656689089429
13;6309.6;-38115.8045582752;1116833.08963196;1117483.31739404;91.9546586281336;34.7506419122631
14;5011.9;-23211.8582740118;1395215.65491332;1395408.72653132;90.9531278038307;33.5106189153938
15;3981.1;-24651.5115270216;1770880.47300105;1771052.04516326;90.7975334122897;32.2905969184741
16;3162.3;13470.2259739504;2128747.02162595;2128789.63945927;89.6374502048215;30.9655729218194
17;2511.9;-40117.0621735622;2865656.76402597;2865937.55477771;90.8020458836201;29.7555519248745
18;1995.3;-179682.973561063;3352265.61879107;3357077.70984177;93.0681440205558;28.5705279278664
19;1584.9;61668.4427875564;4838693.49822121;4839086.45991824;89.2698131815155;27.3655069309087
20;1258.9;-985758.948927552;4317443.44855148;4428548.14096345;102.861313565697;26.1604879339511
21;1000;-985112.541842248;7977567.70874186;8038161.06256001;97.0395511451854;24.815460937347
22;794.33;-1518699.7392794;8039931.94883936;8182111.86919705;100.696826752504;23.5954369404272
23;630.96;820435.86715382;12042095.3827435;12070011.4423809;86.1024240374643;22.3654139435328
24;501.19;960816.259194898;15982938.5818024;16011792.3292054;86.5597974941457;21.1603929465751
25;398.11;50897292.1264184;20690067.8073278;54941907.9726377;22.1220498420807;19.9453689496428
26;316.23;11859879.374264;10691733.44388;15967777.0151976;42.034798872949;18.6803459528367
27;251.19;222967.918652322;8494267.93190997;8497193.79511979;88.4963756842931;17.5303269557402
28;199.53;26633768.5524596;6150183.52957455;27334637.0883799;13.0026419230884;16.2602999589467
29;158.49;-21863975.9150982;136216489.458114;137960013.928343;99.1187116588312;14.9902789621532
30;125.89;4955910.48539968;-878575.451328992;5033184.23693912;-10.0528551267075;13.7402549653092
31;100;-2931029.28896284;-3709522.21422584;4727736.00686343;-128.31355446821;11.7252199703967
