Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;-11336.1211671177;61453.5254891151;62490.3467597748;100.451663547261;51.5799558697731
2;79433;-15893.1374916402;80692.2812037305;82242.5441313077;101.142345296381;50.2199308732069
3;63096;-21227.1732992391;106220.818838214;108321.074777426;101.301119989728;48.8899058765649
4;50119;-27250.4550955922;139877.216702839;142506.922833418;101.024105792839;47.5498798799481
5;39811;-32988.5329615327;183627.603250475;186567.253242546;100.184498192827;46.2798578831546
6;31623;-39116.3225985561;240829.809101132;243985.826730411;99.2255931364468;45.0148348863485
7;25119;-44144.7999018122;311576.613921241;314688.337408613;98.0641077907769;43.6548098897822
8;19953;-47313.7422956568;400841.920047339;403624.621495341;96.7318113999834;42.4097858929256
9;15849;-50869.8435213771;513173.533105973;515688.681338224;95.6611191471476;41.164762896069
10;12589;-49639.4453257485;652800.573916927;654685.163905917;94.348445749482;39.9997438990104
11;10000;-51386.0143093817;828145.2456499;829737.952825552;93.5506234368393;37.9147029042746
12;7943.3;-48000.436482384;1044523.48717981;1045625.82082348;92.6311413097608;36.669680907418
13;6309.6;-52869.2819991609;1329353.52220635;1330404.43023223;92.2774913469307;35.3396549107759
14;5011.9;-57944.8628989524;1653611.93578764;1654626.85863482;92.0069026738394;34.1146329138688
15;3981.1;-37943.6271839079;2087178.73639548;2087523.60381992;91.0414873486536;32.9096089169112
16;3162.3;66302.6408514701;2786660.99283268;2787449.64603114;88.6370265708726;31.669585920042
17;2511.9;-144748.781840248;3520943.26638157;3523917.37912823;92.3541494771995;30.3995629232485
18;1995.3;249167.842577737;3929931.79862825;3937822.81922947;86.3721553338026;29.2295419262025
19;1584.9;173245.594427198;5562205.78145338;5564903.16099228;88.2159895337527;28.0295179292323
20;1258.9;8377.32319370631;10157065.6211211;10157069.075836;89.9527437183451;26.8094949323125
21;1000;-972049.073716926;7458708.11320391;7521782.11062298;97.4251696925009;25.459469935721
22;794.33;5051666.70665022;8063663.1396611;9515355.99675637;57.9339699280559;24.2444479387887
23;630.96;974496.769548855;14577388.0856794;14609924.276134;86.1754739002876;23.0194259418815
24;501.19;-1250154.26034705;8940877.417952;9027855.48607796;97.959751475554;21.7694029450375
25;398.11;1204819.04090124;7446458.2923453;7543297.0259003;80.8093275934233;20.5393799481431
26;316.23;24061787.5132801;9130567.12891724;25735906.3261799;20.7799195061301;19.2443559514127
27;251.19;1752505.35359659;11636618.336358;11767844.3786638;81.4354688776471;18.0593329544046
28;199.53;10805900.4959581;1891134.46501172;10970135.6004975;9.92676963982096;16.7943099575984
29;158.49;19780749.7464194;19174864.2311519;27549110.3089297;44.1089375686584;15.5242859608049
30;125.89;3739314.97608037;-1967610.59929286;4225395.59814091;-27.7531419119142;14.3692669637211
31;100;1652082.42345149;4445914.82271998;4742945.80875204;69.6151550014381;12.3642309687833
