Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;0.828280055159933;-0.560959266615786;1.00036150894457;-34.108134245096;43.603809889911
2;79433;0.827305849065656;-0.45267716010217;0.943054388238776;-28.6861675481334;42.2887828932311
3;63096;0.824037024363596;-0.366653813141615;0.901926846375744;-23.986587917894;40.983758896526
4;50119;0.81948132478818;-0.297485694034745;0.871806962481905;-19.9517604166555;39.6787358998208
5;39811;0.815123689200223;-0.241693495489036;0.850201372885912;-16.5156924747574;38.4687149028758
6;31623;0.809740976304068;-0.195633955091096;0.833038470354431;-13.582417989067;37.2636919059182
7;25119;0.805890447575276;-0.157958656992247;0.821224908786791;-11.0896782501205;36.0786709089101
8;19953;0.80244292626444;-0.127150067933367;0.812454176976953;-9.00387233474092;34.893648911902
9;15849;0.799831664457275;-0.102051287343926;0.806315792178876;-7.2711364656935;33.6736239149823
10;12589;0.7980785458796;-0.0816725211903748;0.802246699033962;-5.84310525265625;32.5886049177217
11;10000;0.796613041851321;-0.0651980692862202;0.799276627136228;-4.6788923995039;30.5335679229102
12;7943.3;0.7960462807763;-0.0519604826614306;0.797740291633931;-3.73458065817125;29.3385439259273
13;6309.6;0.795792097899067;-0.0414530231025118;0.796871016038942;-2.98185743262475;28.1285209289823
14;5011.9;0.795806212397522;-0.0329839522277556;0.796489465589503;-2.37339212818606;26.9485009319616
15;3981.1;0.796366179159648;-0.026278063638447;0.796799615924809;-1.88992963232087;25.783477934903
16;3162.3;0.79685601615444;-0.0208970454659615;0.797129974966901;-1.50220131053872;24.573454937958
17;2511.9;0.797046871365919;-0.0166267893319846;0.797220274000662;-1.19504478534484;23.3934359409373
18;1995.3;0.797402351678841;-0.0132680261292412;0.797512727785778;-0.953259986814973;22.2534129438155
19;1584.9;0.797047020108096;-0.0106437830331136;0.797118085593629;-0.765083593835328;21.0983919467317
20;1258.9;0.796237721482339;-0.00841592700486939;0.79628219679881;-0.605571840871986;19.9033709497488
21;1000;0.795243812688801;-0.00680955506281604;0.795272966760454;-0.490603289027622;18.6183469529932
22;794.33;0.795876349977029;-0.00550428622231002;0.795895383589812;-0.396251681201616;17.4533239559346
23;630.96;0.797282053356587;-0.0045370157170581;0.797294962429911;-0.326044020592575;16.2383029590022
24;501.19;0.797542486197246;-0.00371642543581508;0.797551145135974;-0.26698759603846;15.0882799619058
25;398.11;0.797516673465499;-0.00299717212862377;0.797522305328349;-0.215324031092785;13.9132599648724
26;316.23;0.797687808604994;-0.00249879524948904;0.797691722393267;-0.179481185267969;12.7132379679022
27;251.19;0.797954765631673;-0.0021251472258121;0.797957595518101;-0.152592207288263;11.5432159708562
28;199.53;0.797997954665838;-0.00162031285707452;0.797999599664446;-0.116337341562312;10.3531919738607
29;158.49;0.798119520367203;-0.00134716002791543;0.79812065731399;-0.0967104658581327;9.14317197691571
30;125.89;0.799104613298519;-0.00103229477075643;0.799105280064817;-0.0740154664267911;7.95814897990761
31;100;0.799769637918423;-0.00071229477832461;0.799769955112104;-0.0510290361643417;6.81312798279851
