Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;0.840499069920443;-0.559543471578358;1.00971658554423;-33.6528041004457;43.6758098897292
2;79433;0.839741873393333;-0.451707607022341;0.953523033896924;-28.276361033128;42.3957858929609
3;63096;0.835416945449224;-0.36575503753314;0.911974901093544;-23.6443500840583;41.0757598962937
4;50119;0.831334505724117;-0.297000247600364;0.882794544320614;-19.6596347066286;39.7607348996138
5;39811;0.825777452785749;-0.241215952352834;0.860286892378818;-16.2834901723366;38.5707149026183
6;31623;0.820758989065183;-0.195221596531469;0.843656796264687;-13.3794686976991;37.3756909056355
7;25119;0.817346866799855;-0.157785731366995;0.832437527800469;-10.9263274637203;36.18567090864
8;19953;0.813200878992736;-0.126973363241879;0.82305401072318;-8.87451895760637;34.8806439119348
9;15849;0.810627512011831;-0.101868382418234;0.817003139875851;-7.16258974899461;33.6006229151666
10;12589;0.8089202313326;-0.0815561643701089;0.813021124329467;-5.75716467867988;32.515602917906
11;10000;0.808592399187084;-0.0650901686093446;0.811207986938441;-4.60227885713287;30.4555649231071
12;7943.3;0.808826562018864;-0.0519369538955278;0.810492353207112;-3.67407367474007;29.270542926099
13;6309.6;0.808759204089074;-0.0413425186046338;0.809815197463821;-2.92632440983061;28.0955209290656
14;5011.9;0.807998106149022;-0.0329534373656001;0.808669814309039;-2.33545977955279;26.930497932007
15;3981.1;0.807469113047036;-0.0262307204069901;0.80789505458199;-1.8606052151819;25.7654779349484
16;3162.3;0.808458055941349;-0.020894629709988;0.808728022123126;-1.48048205797168;24.5904559379151
17;2511.9;0.809035647444583;-0.0166220461833683;0.80920638359778;-1.17700514875247;23.4154339408817
18;1995.3;0.810131917362287;-0.0132640665385169;0.810240494538648;-0.938004192433395;22.2554119438105
19;1584.9;0.810329007008328;-0.0106135460104557;0.810398511201753;-0.750407076567993;21.105391946714
20;1258.9;0.809990062009812;-0.00845751781591634;0.810034215426895;-0.59823260731844;19.9303679496807
21;1000;0.809672515872195;-0.00677451537819099;0.809700856500362;-0.479381570328731;18.6503439529124
22;794.33;0.810906005768383;-0.0054833930474535;0.810924545066029;-0.387431451152086;17.4453219559548
23;630.96;0.811128149157413;-0.0043811601723257;0.811139981088336;-0.309469652143929;16.2602999589467
24;501.19;0.812578930143654;-0.0036989685063631;0.812587349200943;-0.260816287772325;15.1252789618123
25;398.11;0.813213248895819;-0.00303262221644387;0.813218903479992;-0.213665540540688;13.9602569647537
26;316.23;0.813450493504133;-0.00249922988297298;0.813454332788341;-0.176033913444118;12.7752369677456
27;251.19;0.813259362318352;-0.00193747689617226;0.813261670199189;-0.136498937710133;11.6252129706492
28;199.53;0.81487290444875;-0.00162675169020235;0.814874528210205;-0.114380883003159;10.4501949736158
29;158.49;0.815924543332777;-0.00127974806633552;0.815925546951383;-0.0898662793178214;9.24517197665818
30;125.89;0.81739063144039;-0.00103733057624939;0.817391289665631;-0.0727126416493164;8.0551499796627
31;100;0.820161603124585;-0.000696326447890997;0.820161898719034;-0.0486447510946829;6.92512898251573
