Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;-17668.8555488931;79378.9700842506;81321.6413265498;102.548811391332;51.4209538701746
2;79433;-24165.8448948135;104888.233558853;107636.098027459;102.974319832507;50.1109278734821
3;63096;-32116.6374712726;138937.300850704;142601.023734545;103.01582968165;48.7659028768779
4;50119;-41174.3475028477;184137.299079055;188684.582847711;102.604381376914;47.410878880299
5;39811;-50536.7013323326;242419.677431266;247631.294846658;101.775673644461;46.1258558835434
6;31623;-57048.627467696;318792.181481797;323856.451024016;100.145824036257;44.8908328866615
7;25119;-64406.8091962911;413710.500886562;418693.940265031;98.8488245780611;43.6358078898302
8;19953;-71987.1146770616;533604.174843507;538438.074517347;97.6832331595431;42.3357898931124
9;15849;-71346.5024717375;685538.198132221;689240.846521245;95.9415940540992;41.0607608963315
10;12589;-76346.3985934645;869069.215117751;872416.227063422;95.0204580062788;39.8707398993361
11;10000;-75206.7777684973;1106387.82754287;1108940.97424405;93.8887019605581;37.7607009046634
12;7943.3;-60286.9936385312;1402931.49567422;1404226.22933652;92.4606094322589;36.505675907832
13;6309.6;-63904.5033470117;1776387.3218449;1777536.41390531;92.0602939522573;35.2456549110133
14;5011.9;-80775.6235965214;2218875.88471006;2220345.66973597;92.0848662723442;33.9406309143081
15;3981.1;-87258.4698515636;2776412.36019789;2777783.22307924;91.8001277460703;32.7206059173884
16;3162.3;-309526.730571438;3785147.7756573;3797782.31083638;94.6749040989302;31.4455839206075
17;2511.9;-26945.0085582859;4313157.11838049;4313241.28253017;90.3579315901638;30.1805609238014
18;1995.3;358948.568834887;5299838.22461043;5311979.78931683;86.125376489685;28.9355379269448
19;1584.9;-11289.3768229922;6965860.58294673;6965869.73113049;90.0928575976032;27.6855149301008
20;1258.9;-2012881.16626856;12703786.6043025;12862265.9231246;99.0035155303209;26.4454909332316
21;1000;2847384.93393403;11745100.402333;12085321.0310226;76.372600295787;25.0354649367915
22;794.33;3055650.80430402;10035404.1609332;10490297.3509391;73.0651854994218;23.805443939897
23;630.96;2878208.11896265;15614514.0985443;15877566.9581237;79.5559582867646;22.555419943053
24;501.19;-2701872.92932913;17128058.5186112;17339853.1119272;98.9642797698672;21.3153959461838
25;398.11;5326667.18852543;10158751.9803821;11470554.7004593;62.3300594868949;20.0603739493524
26;316.23;22139045.5921326;-12742373.6435858;25544185.7533818;-29.9230569605591;18.8203509524832
27;251.19;-3033298.21404088;15809322.2905516;16097688.3229188;100.861214109179;17.5753269556266
28;199.53;3670478.73030117;-36876895.484465;37059112.7076965;-84.3158838432549;16.2853039588836
29;158.49;-34679539.5880809;31586984.4361231;46908507.2434537;137.671965848893;15.0152779620901
30;125.89;7959132.56809858;-4463695.122058;9125369.32837526;-29.2848779637197;13.7352569653218
31;100;4189357.02262049;-3647856.87370835;5554959.22883696;-41.0475185085333;12.4452339685788
