Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;-21511.0823703626;88233.5500781505;90817.872823239;103.701263492898;52.3849708677407
2;79433;-30093.3429234669;117033.766445026;120840.853094549;104.420289052319;51.0349448711492
3;63096;-40345.3871818992;156049.770215797;161180.895428896;104.495929562709;49.6699218745955
4;50119;-52654.9055582311;208049.426683918;214609.186715884;104.202667730326;48.2898938780797
5;39811;-65255.3066436184;276681.30581802;284272.404630343;103.270699134922;47.0198718812862
6;31623;-76630.4956120047;365324.108685045;373274.613715243;101.846624914439;45.6698468846947
7;25119;-86769.7964525234;475716.774270832;483565.349150513;100.337002205155;44.4048238878886
8;19953;-99633.2314161213;626312.555035592;634187.825015295;99.0388223439103;43.0897998912087
9;15849;-98847.9592904479;795180.955888714;801301.236529668;97.0860172610189;41.8147738944278
10;12589;-101322.866241809;1019029.9809348;1024054.89367877;95.6782958951803;40.6347528974071
11;10000;-97797.7470040325;1298533.84084107;1302211.40185783;94.3070418051494;38.5197139027471
12;7943.3;-82040.8192974073;1637897.04677646;1639950.43579678;92.8674985850031;37.2546919059409
13;6309.6;-58627.3976706665;2044114.40719016;2044954.98274168;91.6428541487107;35.9996659091096
14;5011.9;-50317.9065062663;2523880.51293348;2524382.05018189;91.1421387744288;34.7046419123792
15;3981.1;-77604.790491417;3255232.67888826;3256157.59710879;91.3656734620278;33.4696209154973
16;3162.3;88915.901268781;4191487.30772181;4192430.30810191;88.7847411877801;32.0645939190447
17;2511.9;-251844.873332699;5193227.71989912;5199330.72529076;92.7763759641255;30.7845709222764
18;1995.3;-708681.730671033;6205514.88995715;6245850.20992873;96.5150626898087;29.5895499252936
19;1584.9;560528.588349527;7926759.49151258;7946553.2361296;85.9551501811141;28.3495239284243
20;1258.9;-1133020.76315709;5483429.59924668;5599262.11385391;101.674519648589;27.0695009316561
21;1000;2110728.59493556;9879893.96777916;10102845.1446134;77.9406863452933;25.6894769351403
22;794.33;8416286.16335388;10017330.9718726;13083607.7816289;49.9639459448083;24.4794529381953
23;630.96;-1565505.69354462;25907059.0391424;25954315.9442535;93.4580509890549;23.2194309413766
24;501.19;7029597.79699227;22945451.9865936;23998104.3429799;72.9669642404842;21.9144069446714
25;398.11;-16052503.7598803;-11995252.964782;20039185.8779263;-143.231031375659;20.6693829478148
26;316.23;18848227.6418706;-5006575.89574819;19501832.9251294;-14.8757258105641;19.4043589510087
27;251.19;-25897029.1489383;1979506.77064812;25972573.3379656;175.628947792174;18.1693359541268
28;199.53;-6468559.7711792;8363463.58795454;10573069.0293954;127.719468308918;16.934312957245
29;158.49;-33715154.8555935;23532917.0694788;41115810.252695;145.085257436055;15.644290960502
30;125.89;-3772908.39381039;2763948.9865087;4676991.74129134;143.77432213285;14.4892699634181
31;100;-1993457.79839322;-5946368.05535022;6271615.98343396;-108.533189309818;12.4842339684803
