Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;-5533.88182465314;45053.4911216747;45392.0798190614;97.0025165662568;53.2309868656047
2;79433;-7692.12925546092;58774.6010341378;59275.8178282239;97.4562104347263;51.8209598691647
3;63096;-10155.0245723859;76357.3318196685;77029.647842144;97.5755084828876;50.4809358725479
4;50119;-12220.4927808102;99043.8991911119;99794.9618507116;97.0338671445899;49.1459108759185
5;39811;-14678.5320076642;127613.252268636;128454.666931484;96.5615292993264;47.8508878791881
6;31623;-16470.4338831343;164388.5668288;165211.610053063;95.7214898377872;46.5308618825209
7;25119;-18394.9746913005;210001.140908205;210805.252013894;95.0060259213367;45.2258358858157
8;19953;-20750.4720540453;268321.497354228;269122.663543746;94.4221309510219;44.0158138888708
9;15849;-21117.5606261435;339207.479272464;339864.186641043;93.5623848006418;42.7257898921278
10;12589;-20193.5575068078;431516.696018429;431988.933547425;92.6792987377555;41.5757708950313
11;10000;-20754.6239299183;536210.456471169;536611.971580482;92.216590570523;39.4957309002829
12;7943.3;-15085.9504650674;680460.626123251;680627.834874156;91.2700510269213;38.2857099033379
13;6309.6;-185.469412881555;844984.933803748;844984.954158492;90.0125760992783;37.0706859064055
14;5011.9;-20967.0690479096;1042853.11527176;1043063.87053549;91.1518043300196;35.8606629094605
15;3981.1;-19754.738560631;1336010.25333375;1336156.29576353;90.847134716202;34.5706409127175
16;3162.3;42677.1780779918;1756529.58308506;1757047.95545873;88.6081981012064;33.2706169159998
17;2511.9;59043.7410966142;2047818.52136095;2048669.53406147;88.3484766003738;32.0555949190674
18;1995.3;-689131.30127565;2899864.49299856;2980623.42944419;103.367951639538;30.840569922135
19;1584.9;-82945.915363001;3498059.47758458;3499042.7453226;91.3583418200326;29.6255499252027
20;1258.9;1031445.94733759;3116644.32267927;3282887.84096687;71.6881624941289;28.3705249283713
21;1000;1179261.01287395;8360270.77783502;8443031.68389215;81.9710928715143;27.0604999316788
22;794.33;-260017.694049813;3787972.1856654;3796885.89249054;93.926793204964;25.8054769348474
23;630.96;-3895266.67904852;8444765.21952429;9299847.42422115;114.762178044689;24.5754539379529
24;501.19;-3052446.71992976;8244657.92276369;8791576.379774;110.316229157971;23.3754329409827
25;398.11;-10243199.4466813;-4944833.0196898;11374291.5602295;-154.231397360441;22.1304109441261
26;316.23;761672.053316583;5202674.07615864;5258132.92524416;81.6710599882679;20.8753859472947
27;251.19;172350.740523859;-5779572.94701227;5782142.18327388;-88.2919076374801;19.6503649503876
28;199.53;-4278218.23051307;-1509548.05569641;4536726.41453628;-160.564863714289;18.4003409535436
29;158.49;-3932333.26977627;10937130.5192296;11622567.2267039;109.775528496498;17.0403159569773
30;125.89;1757821.75407882;-682168.973769592;1885548.15050866;-21.2100530056395;15.865293959944
31;100;1625969.8548838;-382847.162716928;1670434.05107512;-13.2494018428031;13.8452589650441
