Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;213.324643582196;14100.5521475117;14102.1657297117;89.1332488801639;49.5879208748025
2;79433;221.925123171891;17768.4308259815;17769.8166782324;89.284421234063;48.3158948780141
3;63096;224.927833773891;22367.3479189993;22368.4788365228;89.423848494193;47.0288728812635
4;50119;204.928600541409;28179.7163822467;28180.4615135236;89.5833408407565;45.7468508845003
5;39811;193.390928135108;35567.4071411394;35567.9329002215;89.6884683007508;44.5748258874594
6;31623;226.416647618615;44844.9238914525;44845.4954630728;89.7107229321401;43.4078058904058
7;25119;130.726409455397;56594.1987171633;56594.3496988162;89.8676532510189;42.2257818933901
8;19953;447.073894134253;71133.6184726414;71135.0233856581;89.6399014904176;41.0387598963871
9;15849;469.544522848027;89758.7411392727;89759.9692678529;89.7002779482736;39.8717388993335
10;12589;879.017940273285;112937.161336597;112940.582092124;89.5540617407496;38.7947219020527
11;10000;1371.75832273527;139079.67425063;139086.4389887;89.4349036669342;36.7506799072135
12;7943.3;2295.80313908737;178182.907199027;178197.696758265;89.2618116168951;35.558660910223
13;6309.6;2638.75406344066;224776.099633913;224791.587897861;89.3274083569425;34.3916369131695
14;5011.9;2350.91505217768;281577.117300571;281586.931140069;89.5216430152444;33.2296189161033
15;3981.1;4734.89334973167;353865.052979434;353896.729195356;89.2333992450669;32.092595918974
16;3162.3;9521.08929953889;447090.139047914;447191.506600173;88.7800317145234;30.9305739219078
17;2511.9;9133.03555937216;557167.183420315;557242.032351343;89.0608967166585;29.7685519248416
18;1995.3;17324.5917742064;700835.098321331;701049.19693215;88.5839409621912;28.6365329276997
19;1584.9;10901.9572700979;882603.761331063;882671.089471078;89.2923162094183;27.4795099306209
20;1258.9;21553.4400911102;1106368.3377579;1106578.26183824;88.8839476698517;26.3174879335547
21;1000;24826.0131503367;1390382.77208296;1390604.39515846;88.977062527448;25.0654669367158
22;794.33;9664.88992892004;1729948.26983512;1729975.2675697;89.6799027746796;23.9284459395865
23;630.96;31914.0381579476;2203686.32674864;2203917.40601377;89.1702939509371;22.7514219425582
24;501.19;86827.6709355087;2882806.57521932;2884113.8664359;88.2748216218648;21.6044029454541
25;398.11;372548.314807141;3450833.49656169;3470885.19946394;83.8382731984798;20.4523789483627
26;316.23;236029.355243097;4760318.77868387;4766166.67052536;87.1614464055941;19.2803579513218
27;251.19;937167.037428311;5518908.95441058;5597913.72773067;80.3625242604593;18.1283379542303
28;199.53;-985231.246594543;8131455.09155048;8190924.39930735;96.9084517037691;16.951316957202
29;158.49;-254849.836830643;8160588.93336248;8164567.36016372;91.788728244983;15.7342919602747
30;125.89;1156313.67799731;6931015.89038717;7026808.84859714;80.5284737484188;14.6872739629182
31;100;-2769638.44994967;6673005.62978714;7224949.91530118;112.540948552149;12.0412269695988
