Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;1654.68672611767;78286.9327746487;78304.4177005611;88.7891663609242;49.4759128750853
2;79433;305.33976467871;99221.5056111066;99221.9754293712;89.8236811213391;48.2088918782842
3;63096;-1151.06095872786;124702.170015588;124707.482325349;90.5288525607806;46.9468688814706
4;50119;-3278.581801408;158102.996716931;158136.987038145;91.1879722990422;45.6548428847326
5;39811;-6190.90106313094;202192.285192755;202287.04221339;91.753784595476;44.4678228877295
6;31623;-11112.1801609884;256128.18247374;256369.121395756;92.4842326937243;43.2957998906886
7;25119;-15918.6234258023;333133.539534837;333513.654495256;92.7357698483594;42.1387778936098
8;19953;-16322.4125646111;417554.883026334;417873.786556497;92.2385786262961;40.9867588965184
9;15849;-13117.4845186853;523081.084672313;523245.534660413;91.436524916335;39.8197368994648
10;12589;-31195.9440837726;676996.728066446;677715.099979299;92.6383176988095;38.7277169022219
11;10000;-59309.5389074682;791097.513937919;793317.652623571;94.2875130829077;36.6986759073448
12;7943.3;-10819.0578568971;1099415.653425;1099468.88587574;90.5638143706572;35.5366579102786
13;6309.6;-10496.6463501935;1375092.53098528;1375132.59300916;90.437353734761;34.3796359131998
14;5011.9;-82761.6743658011;1759059.45549906;1761005.29889165;92.6937124829774;33.2126149161462
15;3981.1;-12448.8342974867;2207098.57210436;2207133.67978935;90.3231654944615;32.0705909190295
16;3162.3;-121478.384619987;2698156.77305149;2700890.03291387;92.5778715455691;30.9185699219381
17;2511.9;32167.4742255737;3437386.88212971;3437537.39235452;89.4638349493042;29.7315479249351
18;1995.3;-31354.1148437019;4459373.74840631;4459483.97334187;90.4028433026785;28.6095279277679
19;1584.9;-76626.8196837642;5799501.93663701;5800008.13642113;90.7569853337216;27.477505930626
20;1258.9;-134039.251353156;6878208.58380921;6879514.50636526;91.1164115393623;26.3204869335472
21;1000;92463.1061667435;8347724.59866199;8348236.66417696;89.3653924442013;25.0634639367208
22;794.33;419318.439142388;9487664.50238254;9496926.11654817;87.4693927750353;23.9314429395789
23;630.96;516114.750076476;13073016.0288306;13083200.0109036;87.7391714532133;22.759420942538
24;501.19;972320.132193189;17050821.7393588;17078522.4310202;86.7362528337411;21.6123989454339
25;398.11;-3030488.37995533;24353747.3404952;24541574.3045495;97.0932091612159;20.4603779483425
26;316.23;-3809064.61918005;21365598.5534901;21702483.1487548;100.108504046714;19.2833579513142
27;251.19;-16436812.0810036;22994693.9013113;28265256.7474847;125.557522449635;18.1363329542102
28;199.53;-10837440.4526341;43771491.1725098;45093165.2806664;103.906279889226;16.9643129571692
29;158.49;11971297.9527194;34321584.1686027;36349458.2423901;70.7713333797238;15.7372889602672
30;125.89;4378382.54203685;-20640601.2411832;21099873.3001397;-78.0236731431278;14.7252719628223
31;100;-1711007.65052138;15108836.6885362;15205409.9997665;96.4609629610689;12.0742239695155
