Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;39.100116915853;28073.7577070118;28073.7849356147;89.9202005569552;49.912926873982
2;79433;-173.934065776635;35377.5657851801;35377.9933566615;90.2816928571968;48.6008998772945
3;63096;-413.996553247612;44522.8910901677;44524.8158241338;90.5327500315649;47.3038798805692
4;50119;-593.96265065315;56521.1483237772;56524.26911928;90.6020808393832;46.0318558837807
5;39811;-997.32618707221;71333.8018437992;71340.7733698888;90.8010067741509;44.8648328867272
6;31623;-1611.26192417829;90351.4957484583;90365.861634646;91.0216623699384;43.6678088897494
7;25119;-1472.56859420281;112913.20267981;112922.804595336;90.747186162087;42.4957898927084
8;19953;-2436.02147056291;144130.227720022;144150.812495908;90.9682941826866;41.2687678958064
9;15849;-1022.58852087763;182440.714670835;182443.58047596;90.3211420925262;40.0967448987655
10;12589;-1135.01201718606;229352.31910986;229355.127549724;90.2835413553324;38.9997249015352
11;10000;3568.90789654312;281570.265967155;281592.883042858;89.2738139100047;36.9606859066832
12;7943.3;-1310.42499770195;362888.293732962;362890.659761442;90.2068997448518;35.7686629096928
13;6309.6;-4162.23834161138;460196.220482319;460215.042750912;90.5181967544956;34.5766419127024
14;5011.9;-10741.8362472634;578289.671437457;578389.428618128;91.0641571870355;33.4146199156362
15;3981.1;5816.50146995932;722926.688020071;722950.086756354;89.5390213137633;32.2725989185195
16;3162.3;13613.5394024997;906197.709181199;906299.959494822;89.139327240685;31.0905759215038
17;2511.9;4955.56794870683;1154604.8193651;1154615.45397367;89.7540878226589;29.893555924526
18;1995.3;15881.045721139;1405051.55673883;1405141.30417812;89.3524236571616;28.7215319274851
19;1584.9;4571.3166055733;1835015.58971335;1835021.28364402;89.8572673671116;27.5795119303684
20;1258.9;52533.8921702164;2316058.959482;2316654.68156637;88.7006141418448;26.4174899333022
21;1000;42367.2020442175;2857207.86795595;2857521.96501067;89.1504699378512;25.1554669364886
22;794.33;-39694.3509480902;3487403.20312056;3487629.10049689;90.6521243569502;24.0034449393971
23;630.96;65511.0884152047;4538078.95736881;4538551.78730164;89.1729433954505;22.8214249423814
24;501.19;507687.378051033;6067398.98362376;6088602.21235638;85.2169387388295;21.6744019452774
25;398.11;489002.481318509;6315264.31694953;6334168.20266652;85.5723177627039;20.4773799482996
26;316.23;1959224.15252314;9733257.86327982;9928487.69515924;78.6189220358516;19.2953599512839
27;251.19;340549.62294555;15610362.2039497;15614076.4115009;88.7502556738063;18.0983369543061
28;199.53;-4047208.31755201;11893233.8908822;12562997.5542818;108.793183935111;16.9063159573157
29;158.49;1442171.83977731;15692435.0598277;15758565.2177587;84.7491324290497;15.6892929603883
30;125.89;-1237383.92482405;9729751.29936517;9808118.03175876;97.2477006848986;14.5922729631581
31;100;-133667.320052657;10694896.8149025;10695732.0849889;90.7160587611498;11.9362249698639
