Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;-98.7023602055916;46515.9577741136;46516.0624924233;90.1215759161134;50.777942871798
2;79433;-392.567907496525;58662.8246580967;58664.1381631794;90.3834140046786;49.5059208750096
3;63096;-862.028562317181;74158.6793087119;74163.6892964112;90.6659823843979;48.2438958781959
4;50119;-1522.69346735802;93688.6137279641;93700.9868553325;90.9311294625753;47.0718738811549
5;39811;-2604.16084036379;118862.714861962;118891.238693348;91.2550912959982;45.8848498841519
6;31623;-3836.54465913084;149389.518340592;149438.774302239;91.4711173335385;44.6978298871488
7;25119;-1484.85809845027;189453.285082281;189459.103851044;90.4490519139271;43.5158088901331
8;19953;-5457.44734651449;240086.156868659;240148.176032012;91.302177786619;42.3287858931301
9;15849;-6589.21482171048;305045.983965781;305117.141579457;91.2374380185146;41.1567648960892
10;12589;-8216.61321083223;386030.599817918;386118.034710162;91.219349408677;40.0697458988336
11;10000;-33095.5907684153;504865.27354943;505948.873468902;93.7505618994548;38.0307049039817
12;7943.3;-4576.20787202949;610520.418782435;610537.569219755;90.4294573595343;36.8336819070039
13;6309.6;-4143.25159087255;778490.315563184;778501.341013238;90.3049345425534;35.6666619099503
14;5011.9;-14288.1266949433;936421.506528832;936530.505885515;90.874163855816;34.4946389129094
15;3981.1;12084.6117071089;1225574.71318145;1225634.29106316;89.4350611171341;33.3376179158306
16;3162.3;37790.5554071816;1567564.72816976;1568020.18580117;88.6189916318961;32.1505959188275
17;2511.9;24008.2736582342;1927917.34908474;1928066.83030075;89.2865349465839;30.9935759217487
18;1995.3;308.393710044841;2353080.23654922;2353080.25675819;89.9924908391825;29.8615549246068
19;1584.9;-49431.2731581002;3028610.00824234;3029013.37613284;90.9350665390333;28.7095349275154
20;1258.9;62775.9615518775;3791079.98561502;3791599.69916124;89.0513339266892;27.5375109304745
21;1000;-230675.579811188;4893564.36589368;4898998.20639543;92.6988427684256;26.2754889336608
22;794.33;-332247.862184604;6488318.7814209;6496819.93372645;92.9313891878182;25.1234659365693
23;630.96;-103215.668728544;7437959.8531049;7438675.97430291;90.7950355681605;23.9614439395032
24;501.19;668293.447471141;8709370.32534668;8734972.67288011;85.6121387793794;22.8294249423612
25;398.11;-2827226.05182151;11701003.5218761;12037719.4919575;103.583601776112;21.6824039452572
26;316.23;3395874.80005066;11703647.31124;12186358.1944531;73.8196358059551;20.5103819482163
27;251.19;-1590187.03971512;17875176.1235053;17945768.7566628;95.0836864250724;19.3583609511248
28;199.53;6801449.82155494;21001175.1628186;22075078.2081179;72.0549125408535;18.1763369541092
29;158.49;950851.23325464;27654321.9127971;27670663.8612881;88.0307487221778;16.9543139571945
30;125.89;-3544532.2387841;16134318.4873956;16519078.1172708;102.390420867529;15.842296960002
31;100;11073766.4267032;7566459.71440839;13411920.6485478;34.3439316884467;12.5142349684046
