Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;-66.6625504416265;14805.7699264561;14805.9199987973;90.2579708452406;49.5269188749566
2;79433;-124.715324558593;18725.5013020881;18725.9166111217;90.3815949153726;48.2598968781555
3;63096;-150.958017103154;23637.1064737394;23637.5885143519;90.3659136401999;46.9978708813418
4;50119;-184.750238483217;29860.449063047;29861.0205937012;90.3544914491531;45.720846884566
5;39811;-196.418258787364;37687.0376513356;37687.5494966915;90.2986128932775;44.5588268874998
6;31623;-204.672365593602;47584.1178708068;47584.5580448119;90.2464433709728;43.3968038904336
7;25119;-116.023330661083;60102.5949939692;60102.7069808204;90.1106048568298;42.2247818933927
8;19953;-56.0125044087921;75567.8678762918;75567.8886351163;90.0424688376824;41.0527638963517
9;15849;66.1431318713563;95099.4615108441;95099.4845126219;89.9601499143243;39.8657388993487
10;12589;172.736444882747;119570.104564961;119570.229336383;89.9172279524984;38.7787219020931
11;10000;-1849.02665471171;148972.327784623;148983.802291186;90.711111824189;36.7046819073296
12;7943.3;127.412395488416;188476.796186799;188476.839252887;89.9612674262573;35.5176589103265
13;6309.6;1460.39280603279;238920.103585641;238924.566850128;89.6497854266133;34.3656389132351
14;5011.9;3290.93256977812;298821.570741243;298839.691770424;89.3690250544903;33.1986169161816
15;3981.1;2369.16875854135;378735.669058737;378743.079115614;89.6415927746866;32.0365939191154
16;3162.3;1950.3146322656;470681.584890708;470685.62553194;89.7625907594115;30.8745719220492
17;2511.9;6043.03457659479;596226.758694042;596257.38238591;89.4193005996083;29.7075499249956
18;1995.3;9716.20093050461;754635.521771028;754698.06895152;89.2623372063833;28.5555289279042
19;1584.9;10178.9047083636;947771.671543444;947826.329810116;89.3846768417507;27.4135079307875
20;1258.9;15559.1544675059;1184832.58362206;1184934.74018626;89.2476383101494;26.2514869337214
21;1000;20240.7309726596;1496252.12450421;1496389.02270555;89.2249717097152;24.9894649369077
22;794.33;7381.09461226563;1899600.38089883;1899614.72084964;89.777372417162;23.847441939791
23;630.96;13904.5320391269;2355106.31736778;2355147.36314245;89.6617300290403;22.6654219427753
24;501.19;5380.8342556666;2948521.79374538;2948526.70355362;89.8954395549949;21.4984009457218
25;398.11;85129.6117968931;3914035.28962713;3914960.9575641;88.7540228420703;20.3363799486556
26;316.23;-103733.684769846;4446241.50253629;4447451.42483109;91.3365050666249;19.1493569516525
27;251.19;181228.314189493;6700741.95993743;6703192.2630587;88.450755620993;18.0023329545485
28;199.53;-171574.008082352;7646892.89705969;7648817.46542244;91.2853347811071;16.8303119575075
29;158.49;595745.442617249;9699071.85617582;9717350.84802751;86.4851409840408;15.6182899605676
30;125.89;-2822211.90523588;8958322.31579184;9392359.5944613;107.486407770329;14.5162719633499
31;100;16341051.029574;13071564.9737487;20925958.9891138;38.6570804390084;11.9352249698665
