Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;-4217.75931076045;75382.0958485305;75499.9991266262;93.2024593849895;50.1589288733609
2;79433;-6244.80396825408;96379.9010788292;96582.0009554929;93.7072196212359;48.8919068765598
3;63096;-7863.15447504436;122991.727576312;123242.826365287;93.6580773062218;47.6198808797714
4;50119;-9673.77681812687;157575.63561085;157872.299331106;93.5130547166754;46.4328608827683
5;39811;-11822.1867770176;200293.009716722;200641.605460019;93.3779333151019;45.2458388857652
6;31623;-12682.7141400763;256574.108736256;256887.377096974;92.8298841680544;44.0838158886991
7;25119;-14910.1780075523;320437.051667001;320783.755027054;92.6640943124518;42.9167938916455
8;19953;-17453.3284305929;409734.546135736;410106.104527064;92.4391350395281;41.7297718946425
9;15849;-15238.9213610202;518024.613984605;518248.71000143;91.6850051582235;40.5527508976141
10;12589;-16077.5786211852;655737.632094708;655934.700011743;91.4045142956824;39.4657309003586
11;10000;17076.211128184;879951.155484591;880116.829190966;88.8882655221508;37.4316939054941
12;7943.3;-6099.76211765155;1035126.84380156;1035144.8158864;90.33762681572;36.2646729084405
13;6309.6;-23670.0411476142;1297490.90206533;1297706.78960628;91.0451272046482;35.0976519113869
14;5011.9;10345.2635758438;1617201.04686847;1617234.1359466;89.633482888935;33.9306279143334
15;3981.1;3486.00315413842;2099804.1520865;2099807.04573961;89.9048801363656;32.778606917242
16;3162.3;-53597.3283046078;2542408.90520753;2542973.79358891;91.2076916088535;31.6165849201758
17;2511.9;469.593883684;3286859.89222008;3286859.92576553;89.9918141483606;30.4545629231096
18;1995.3;37009.4424351748;4065881.24239548;4066049.67703209;89.4784829742152;29.3375439259298
19;1584.9;106378.955052859;5066867.18606666;5067983.77693903;88.7972509210861;28.1905229288258
20;1258.9;59601.0715528971;6500178.08130315;6500451.32097642;89.4746614452244;27.0135009317975
21;1000;57633.8363200712;8441211.80226467;8441408.55247401;89.6088092154972;25.741476935009
22;794.33;91936.3949409849;10935193.2448561;10935579.7104251;89.5183035919059;24.6044569378797
23;630.96;565770.860786608;13180466.5718485;13192603.8263313;87.5420904301551;23.422434940864
24;501.19;-295338.595450605;15724510.4991922;15727283.787265;91.0760058748007;22.2954119437095
25;398.11;-4179313.74903554;20098720.1723237;20528643.7929604;101.746649754784;21.1583929465802
26;316.23;3531793.6508518;18940198.0617094;19266672.4944651;79.4373221122034;19.996371949514
27;251.19;23027763.7262209;35417067.166232;42245077.2148429;56.9685475302126;18.8593489523847
28;199.53;-423533.468956079;35707243.6015187;35709755.3368477;90.679569181963;17.6623279554069
29;158.49;12511390.4342388;46440227.2914008;48096045.5908272;74.9220190580621;16.4253049585301
30;125.89;-31813841.3658192;13395677.3380364;34519047.9850515;157.165771075911;15.3382849612746
31;100;20860656.3696286;1974824.05335058;20953923.5994936;5.40792564969497;11.9352239698665
