Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;-571.415243802483;33801.1187113542;33805.9483156427;90.9685053261721;50.3809328728004
2;79433;-878.239021552283;43034.5783724811;43043.5388818833;91.1691157988404;49.1139098759993
3;63096;-1089.20860799776;54670.2796155717;54681.1288164073;91.1413660487558;47.8468858791982
4;50119;-1390.28521353278;69267.8641163199;69281.81501817;91.1498374024316;46.5598618824476
5;39811;-1732.76132925494;87024.7579378387;87042.0068470596;91.140673029128;45.3728408854446
6;31623;-2051.33873311229;110256.216118109;110275.297248663;91.0658763489657;44.1758198884668
7;25119;-3023.40251162648;138729.493874939;138762.435239311;91.2484784694434;42.9837968914763
8;19953;-2030.16644212016;175696.694139327;175708.422983279;90.6620203808314;41.806774894448
9;15849;-2456.61765820934;220205.91283819;220219.615427916;90.6391653297463;40.6297538974197
10;12589;-2761.86777703587;278313.633667497;278327.337138887;90.5685606233197;39.5427349001642
11;10000;8705.22955055985;350110.02245571;350218.230315707;88.5756758353074;37.4986949053249
12;7943.3;-2080.92863471178;441693.50272708;441698.404587678;90.269932759676;36.3366749082587
13;6309.6;-3661.1815941699;560173.750459803;560185.714700819;90.3744682188128;35.1796539111799
14;5011.9;-1432.83697876379;710313.415180647;710314.860331249;90.1155763054855;34.0226329141011
15;3981.1;-8821.62819114954;882116.645209042;882160.754555992;90.5729686858421;32.8656109170223
16;3162.3;-8756.09133668626;1098793.94800894;1098828.83531357;90.4565700971901;31.6985879199688
17;2511.9;377.334823582064;1411351.51207211;1411351.56251368;89.984681567877;30.5565679228521
18;1995.3;19209.444330594;1737661.18622796;1737767.36097633;89.3666341493332;29.4195469257228
19;1584.9;33318.8112490348;2200447.80663631;2200700.04610206;89.1325032205656;28.2725259286187
20;1258.9;14955.4915928968;2784427.02812754;2784467.19170759;89.6922604542276;27.1155029315399
21;1000;-31787.6631652235;3465751.74259224;3465897.5167784;90.5254986524899;25.8434819347515
22;794.33;-61064.095095608;4338517.13477318;4338946.84830667;90.806377804492;24.6964599376474
23;630.96;7156.68572791928;5506899.69980854;5506904.35016825;89.9255392908864;23.5394389405686
24;501.19;142544.206585889;7112546.57976668;7113974.81722995;88.8518756044739;22.3924159434646
25;398.11;532292.682820317;8186846.22788001;8204132.29166481;86.2799768493274;21.2453939463605
26;316.23;959839.508124659;9934199.10215535;9980461.09569198;84.4812286982033;20.0733739493196
27;251.19;540689.244610613;15157488.3906282;15167128.9033642;87.9570439950926;18.9063519522661
28;199.53;-1114643.88379613;14478579.7223948;14521422.167454;94.402273406183;17.7243319552504
29;158.49;2611325.61155214;23312356.6998739;23458154.1548287;83.6086753742817;16.5073089583231
30;125.89;2359403.50964856;15253986.3278672;15435377.6698888;81.2074771984645;15.3802879611685
31;100;-6828248.01662584;11399736.0258451;13288301.3374737;120.920891611714;11.9972259697099
