Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;-1832.31823213162;54639.4773268988;54670.1918110819;91.9206767505779;49.5069168750071
2;79433;-2458.95797233303;69147.5162218946;69191.2239663881;92.0366396096831;48.2348948782186
3;63096;-2921.36323105613;88238.6678557539;88287.0141531914;91.8962283958335;46.9528708814554
4;50119;-2928.60466971594;113066.231510634;113104.153033069;91.483724853519;45.680844884667
5;39811;-3739.72015066698;143204.983808757;143253.805863829;91.4959080834873;44.4988238876513
6;31623;-3810.0380668852;181656.85313957;181696.804271959;91.2015351784696;43.321803890623
7;25119;-3948.37776069661;225172.781717338;225207.396222382;91.0045716812239;42.1547808935694
8;19953;-6169.06576145206;288023.224136962;288089.283061032;91.2270100666314;40.9777588965411
9;15849;-6882.52639973782;362734.839418421;362800.128028575;91.0869989868438;39.790738899538
10;12589;-7926.39166423939;458484.446946354;458552.958529895;90.9904448327872;38.7187189022446
11;10000;-29192.0200753721;575722.602738634;576462.218484636;92.9026971416198;36.6596789074432
12;7943.3;-7166.33029029458;727803.088872444;727838.369737471;90.5641460135167;35.4776579104275
13;6309.6;659.720986185642;923422.671476789;923422.907139036;89.9590661753267;34.310637913374
14;5011.9;6746.15441559826;1124843.81889543;1124864.04845504;89.6563775919401;33.1436149163204
15;3981.1;7269.04275517436;1445109.11418339;1445127.39607222;89.711798953925;32.0065949191911
16;3162.3;-46170.3045797179;1839391.74807639;1839971.11388101;91.4378710956764;30.8495709221123
17;2511.9;-16369.4596362645;2272672.37850363;2272731.33018889;90.4126792494135;29.6875509250461
18;1995.3;32714.6021012544;2874188.63669189;2874374.81280354;89.3478758961241;28.5755309278537
19;1584.9;110889.430716273;3602935.42443934;3604641.47156475;88.2371342711658;27.4485079306992
20;1258.9;60330.4956292134;4613244.2154791;4613638.68983628;89.2507472889044;26.2964859336078
21;1000;70601.7093855869;5623748.45803324;5624191.61485448;89.280734636922;25.0244649368193
22;794.33;338545.697367312;7497149.6345475;7504789.52616272;87.4144745313775;23.8674429397405
23;630.96;65272.2450343793;9032178.30951392;9032414.15574073;89.5859515910175;22.7104229426617
24;501.19;537549.959370192;11573522.3812154;11585999.3210475;87.3407210049111;21.5634009455576
25;398.11;489822.819111354;14658215.5147564;14666397.2560124;88.0861011996763;20.4163769484536
26;316.23;1687394.61431298;22735815.9147952;22798346.9991986;85.7554344447151;19.2493589514
27;251.19;2213206.90224845;20929398.115385;21046092.0425727;83.9636154551013;18.0973349543086
28;199.53;-392157.931058072;27077063.5683588;27079903.2370471;90.8297584955929;16.9303149572551
29;158.49;-9516503.50005498;32798203.3861276;34150929.4781906;106.180255190029;15.7082909603404
30;125.89;62454516.1183723;5327879.56422911;62681359.9424179;4.87599181488242;14.596270963148
31;100;-11194271.8415518;8865951.37037375;14279944.5294578;141.620499066671;11.9852249697402
