Index	Frequency (Hz)	Z' (¦¸)	-Z'' (¦¸)	Z (¦¸)	#NAME?	Time (s)
1	100000	0.738017923	-0.577094953	0.93686127	-38.02371832	43.05379689
2	79433	0.739304703	-0.464003462	0.872852025	-32.11326196	41.77677289
3	63096	0.737773892	-0.374689463	0.827467528	-26.92441627	40.4997509
4	50119	0.734628921	-0.303180027	0.794731263	-22.42585111	39.2327279
5	39811	0.730787505	-0.245956657	0.771067478	-18.60137259	38.0507039
6	31623	0.726203398	-0.199463887	0.753098412	-15.35849545	36.88368191
7	25119	0.722708143	-0.161461061	0.740524635	-12.59370648	35.69166291
8	19953	0.719391334	-0.130311003	0.731098385	-10.26726365	34.51463991
9	15849	0.716965874	-0.104897349	0.724598868	-8.323734515	33.35261792
10	12589	0.715115266	-0.084095467	0.720042979	-6.707012327	32.26059792
11	10000	0.714332784	-0.067291431	0.71749527	-5.381484427	30.24155892
12	7943.3	0.713221417	-0.053670098	0.715237911	-4.303411787	29.05953793
13	6309.6	0.712934036	-0.042805039	0.714217902	-3.435952341	27.88751793
14	5011.9	0.712549295	-0.034074989	0.713363584	-2.73786926	26.73049393
15	3981.1	0.711900081	-0.02717677	0.712418628	-2.186203568	25.57347494
16	3162.3	0.710990326	-0.021608195	0.711318605	-1.740779503	24.39645094
17	2511.9	0.711649448	-0.017180441	0.711856801	-1.382949995	23.23442994
18	1995.3	0.711502382	-0.01371094	0.711634478	-1.103976342	22.11241094
19	1584.9	0.711830168	-0.010959397	0.711914529	-0.882060916	20.98538995
20	1258.9	0.711653059	-0.008772137	0.711707121	-0.706216303	19.79836795
21	1000	0.712596247	-0.007017197	0.712630796	-0.564194329	18.53134395
22	794.33	0.713837072	-0.005635894	0.71385932	-0.452352808	17.38432096
23	630.96	0.713473317	-0.004707386	0.713488846	-0.378023128	16.22230196
24	501.19	0.71288265	-0.003869024	0.712893149	-0.310958036	15.06527796
25	398.11	0.712232213	-0.003129243	0.712239088	-0.251731448	13.91825696
26	316.23	0.712891593	-0.00248132	0.712895912	-0.199425232	12.75123597
27	251.19	0.713441708	-0.002030388	0.713444597	-0.163057977	11.58921297
28	199.53	0.713394237	-0.001719886	0.713396311	-0.138131235	10.40219297
29	158.49	0.714507926	-0.001367552	0.714509235	-0.10966268	9.185171977
30	125.89	0.715411213	-0.001127527	0.715412101	-0.090301197	8.07815198
31	100	0.715402051	-0.000735018	0.715402428	-0.058866787	6.936129982
