Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;-3458.05542519764;66554.5928281997;66644.3694084593;92.9743097388014;51.7629578693111
2;79433;-4042.84721262831;84517.0776878526;84613.7165859009;92.7386376371341;50.49593687251
3;63096;-5738.14253104776;108485.05942483;108636.708336158;93.0277465144774;49.2239118757216
4;50119;-8763.49567923897;138127.872893868;138405.592830292;93.6302537745758;47.9418868789584
5;39811;-11800.5097711446;169941.614323902;170350.827147603;93.9721633537089;46.7648638819301
6;31623;-10758.6735615916;225243.742694576;225500.538092186;92.7346306639477;45.5928428848891
7;25119;-19722.3428333329;288920.732616688;289593.094777135;93.9050736026038;44.4208238878482
8;19953;-13410.4849084866;354765.414307899;355018.788650032;92.1648066390776;43.258799890782
9;15849;-15520.0435904531;457215.103317167;457478.439332803;91.9441433300296;42.0867778937411
10;12589;-15935.561627088;579868.708343482;580087.632207677;91.5741678530899;40.9997588964856
11;10000;-20339.8560804876;726936.20023117;727220.701679969;91.6027320231419;38.965722901621
12;7943.3;-14150.5621192365;908520.532598633;908630.726181761;90.8923319897643;37.8037009045548
13;6309.6;-14592.0492066578;1146599.342894;1146692.19105434;90.7291280142117;36.646676907476
14;5011.9;-16734.9570389407;1449923.26754093;1450019.84143103;90.6612762589183;35.4746549104351
15;3981.1;27350.5941983913;1812608.0509383;1812814.38689385;89.1355248038837;34.3076369133815
16;3162.3;67377.8811675802;2280736.02420174;2281731.0514086;88.3078507512014;33.1506149163027
17;2511.9;-21289.1044803118;2828540.95216641;2828621.06759673;90.431230385151;31.9885929192366
18;1995.3;-30299.3539490931;3504322.10481544;3504453.09073297;90.4953830705575;30.8715719220568
19;1584.9;55152.3816740024;4689316.23296009;4689640.55316688;89.3261591136328;29.7395519249148
20;1258.9;211870.730512322;5784845.48053521;5788724.0770412;87.9024720401587;28.5675289278739
21;1000;-18882.3609271168;7051055.61040104;7051080.89334693;90.1534347567168;27.3005069310728
22;794.33;-311255.630959821;8378530.39353107;8384309.84775301;92.1275135507107;26.1434829339941
23;630.96;79068.3806324246;11464462.5275199;11464735.1846314;89.60484735635;24.9614629369784
24;501.19;-194514.61029457;17431317.9688754;17432403.2211756;90.6393322459328;23.8344429398238
25;398.11;-3719268.97791455;15420818.5667426;15862994.8937289;103.559909674467;22.6924209427071
26;316.23;5183455.29207225;17095070.8579024;17863640.6256288;73.1319910955233;21.530399945641
27;251.19;10895406.1926682;24166958.4778868;26509465.444915;65.7322935855702;20.3833779485369
28;199.53;-15522183.485935;48581063.7606848;51000567.9996876;107.719252059682;19.2063539515086
29;158.49;14029139.531026;53489086.3124037;55298274.0283706;75.3034672103204;17.9143299547707
30;125.89;24973852.4921771;-20231766.5785839;32140592.5146275;-39.0115535564102;16.8023119575782
31;100;-6460657.61125726;12527782.0839728;14095581.6025237;117.280448357016;13.2192469666246
