Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;-247.958898605288;31382.2487372165;31383.2283141796;90.4526986853809;49.9789278738153
2;79433;-434.532166836217;39682.8694939407;39685.2485122261;90.6273705637849;48.6869018770774
3;63096;-945.401503883183;50038.9888191047;50047.9188982123;91.0823774345483;47.3898778803521
4;50119;-1338.29165530276;63375.7398011391;63389.8684325527;91.2097226706597;46.1128558835762
5;39811;-1781.42760250051;80552.2027613441;80571.8986620499;91.2669007749097;44.95083588651
6;31623;-2727.70934999529;101642.555170098;101679.149385724;91.5372373413715;43.7788128894691
7;25119;-3979.50355427998;129371.074834692;129432.265886146;91.761884449572;42.5867898924787
8;19953;-3174.50649757647;163638.115625427;163668.904734357;91.111373176533;41.4147698954378
9;15849;-3530.36530437216;206873.536983647;206903.658216346;90.97767651956;40.21774489846
10;12589;-3570.64764035851;259753.380349076;259777.920784933;90.7875553151714;39.1307279012044
11;10000;-3121.15272297548;335225.647939046;335240.17753019;90.533442808484;37.0816889063777
12;7943.3;-5583.39619336108;411481.061882444;411518.940756019;90.7774000690737;35.9096649093368
13;6309.6;-5938.27608495681;514764.588424855;514798.838983803;90.660929429621;34.7476449122706
14;5011.9;1396.88356645164;643753.838090791;643755.353640125;89.8756738950849;33.5806229152171
15;3981.1;-3101.77362193943;812508.108446064;812514.028980548;90.2187272623786;32.4186039181509
16;3162.3;-7116.97036691665;1049283.89849113;1049308.03432545;90.388613713147;31.2515809210973
17;2511.9;372.012309916752;1295497.0513418;1295497.10475494;89.9835470604297;30.074558924069
18;1995.3;30825.8055601249;1637974.13266618;1638264.16965395;88.9218510500371;28.9475359269145
19;1584.9;-47103.1846866965;2037669.25996282;2038213.61073982;91.3242252702306;27.7905169298357
20;1258.9;19539.05968055;2579764.84127095;2579838.83432879;89.5660518232674;26.6134929328074
21;1000;-14418.3595138845;3202272.62735082;3202305.08680409;90.257974776449;25.3464689360063
22;794.33;85376.1969402189;3986779.17678305;3987693.23035698;88.773208152394;24.1944479389149
23;630.96;12199.5547967169;5078030.50095073;5078045.1551481;89.8623518198816;23.0124259418992
24;501.19;-340160.37453576;6496079.4650282;6504979.4385813;92.9974955889997;21.850406944833
25;398.11;199870.050200991;9141763.63654114;9143948.29509404;88.7475188995283;20.7083849477164
26;316.23;1156855.58120532;8749455.39281536;8825603.91738897;82.4680241627445;19.5313619506881
27;251.19;-2241744.35817214;11848370.2033715;12058577.621077;100.713873768573;18.3693409536219
28;199.53;1893386.03780043;14418595.3325804;14542379.518251;82.5189765676059;17.1923199565936
29;158.49;14862.6658322647;21805109.7703683;21805114.8356675;89.9609464065262;15.9552979597167
30;125.89;-15925097.5991556;4223460.36097074;16475629.0005366;165.146647811881;14.878276962436
31;100;22351076.6706319;-29663813.9694658;37141788.9654166;-53.0027233063904;12.2172289691545
