Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;16.2496763707871;42949.72309099;42949.7261649559;89.9783226115776;49.8389268741688
2;79433;-454.794865411455;54432.8015634433;54434.7014726341;90.478704370429;48.5719028773677
3;63096;-1113.38116659086;68874.1084004086;68883.1069680611;90.926131567226;47.2898788806045
4;50119;-1852.4381645349;87160.4145856988;87180.0974873527;91.2175356535241;46.1278558835384
5;39811;-2766.93917962123;110479.276792398;110513.920177482;91.4346654654549;44.9258328865732
6;31623;-3911.61664171973;140166.430698515;140221.000707859;91.5985351810823;43.7438108895575
7;25119;-6881.64971534233;177982.358706832;178115.347776804;92.2142260649682;42.5417908925923
8;19953;-6573.80957264702;225115.742230279;225211.7056731;91.6726708290468;41.3347668956397
9;15849;-7593.92263807567;283402.587836468;283504.311172582;91.5349035142518;40.1677458985862
10;12589;-7560.09474253287;360978.934359519;361058.092394908;91.1997880359828;39.0707249013559
11;10000;5235.44807430202;442386.263088342;442417.241623568;89.3219611446439;37.0216879065292
12;7943.3;-11770.4354078861;574518.79303146;574639.353591465;91.1736812574779;35.8446639095009
13;6309.6;-7429.5189787445;726667.70079107;726705.679849301;90.5857770330925;34.632643912561
14;5011.9;-25265.3764076037;899604.628634449;899959.347473842;91.6087278390796;33.4606199155201
15;3981.1;-9348.99210053909;1134751.58991224;1134790.10149968;90.4720378235674;32.2635979185422
16;3162.3;23003.6823510091;1462073.35005395;1462254.30426437;89.0986052980211;31.0615789215771
17;2511.9;-4148.35067941056;1819250.28081957;1819255.0104577;90.1306486394034;29.8845559245487
18;1995.3;23386.5196020278;2264190.38565493;2264311.16055001;89.4082206022926;28.7575339273942
19;1584.9;71765.2704160793;2863136.66221078;2864035.92863871;88.5641669236153;27.6255149302523
20;1258.9;-28646.2510876831;3670108.40731947;3670220.20172884;90.4472009473198;26.448492933224
21;1000;-49009.5819118082;4582124.15536232;4582386.24673587;90.6128020609705;25.1914669363977
22;794.33;-46205.5397225574;6064117.23569184;6064293.264686;90.4365567290817;24.049447939281
23;630.96;-33436.0730888754;7402630.2829156;7402705.79427028;90.2587908311651;22.8424249423284
24;501.19;378669.183589784;8645486.40532749;8653775.21867208;87.4920684667327;21.6654039453001
25;398.11;-432585.2611376;9695519.37876422;9705164.91524724;92.554673128645;20.5133799482087
26;316.23;-4184293.90875056;16211548.3592914;16742837.7439564;104.472509292388;19.3213589512183
27;251.19;2814374.49371613;15081114.7925061;15341470.8283015;79.429292215517;18.1793399541016
28;199.53;-1987621.3330845;16866508.4573218;16983219.5447342;96.7209815172664;17.012317957048
29;158.49;4571006.59382956;24748307.6702887;25166899.5671717;79.5354157229565;15.7752929601712
30;125.89;-23393596.0840858;-23975740.6367178;33497708.5309506;-134.2959000652;14.7332749628021
31;100;-15057732.6126447;5053570.7663101;15883132.213893;161.447578098558;12.052227969571
