Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;84.2542558597354;8891.67387255193;8892.07304487841;89.457102356312;56.1040388583509
2;79433;93.7926188220907;11212.9283212878;11213.3205873053;89.52075000168;54.4790088624537
3;63096;112.788692093846;14136.545180178;14136.9951163703;89.5428742430857;52.8139798666575
4;50119;153.569044961623;17811.5379617626;17812.1999768384;89.5060145765;51.4539548700913
5;39811;222.402408313498;22428.5440150613;22429.6466638859;89.4318712034538;50.1389308734114
6;31623;338.685306189349;28213.9504342371;28215.9831804993;89.3122442511813;48.7489028769209
7;25119;488.918514644908;35459.3254939112;35462.6959747437;89.2100472297024;47.3788778803798
8;19953;696.40043243953;44519.4672286302;44524.9136538566;89.1038178546579;46.0288518837883
9;15849;975.363837521322;55910.4459874491;55918.9530046031;89.0005702456705;44.6888288871716
10;12589;1356.29150572945;70155.2917273335;70168.4008938196;88.892455609657;43.2738038907441
11;10000;2084.91102069278;87951.1949476529;87975.9032160753;88.642039669149;41.9987798939633
12;7943.3;2230.77744427539;110278.089459199;110300.649965343;88.8411414841117;38.9037219017775
13;6309.6;3132.64428048967;138524.717188418;138560.133993582;88.7045148914331;37.4436929054638
14;5011.9;4022.3362904863;173422.63559358;173469.276027363;88.6713292666638;36.2686719084304
15;3981.1;5942.92481796364;217574.081499213;217655.230342894;88.4353841035415;34.9936499116495
16;3162.3;7103.64981877988;271856.980871396;271949.774571075;88.5031962117369;33.6086259151464
17;2511.9;9907.55088701471;342195.955939904;342339.351851644;88.3415867320708;32.1585979188073
18;1995.3;9744.54488909416;428600.510691697;428711.271044137;88.6975630917916;30.7535699223547
19;1584.9;17816.1836218457;538434.522347048;538729.200298203;88.1048395208795;29.3385429259273
20;1258.9;-3734.04010953736;662965.589228258;662976.104815484;90.3227052504628;28.01851892926
21;1000;23640.6560600961;847167.68104151;847497.469270677;88.401546213501;26.5434919329841
22;794.33;44838.5319143259;1024649.3339059;1025629.92907677;87.4943421310023;25.2984699361275
23;630.96;37687.1213409514;1322501.49930153;1323038.37237239;88.3676927579973;23.9934459394224
24;501.19;104737.335171397;1653498.61809686;1656812.47865503;86.3755636200058;22.4834189432348
25;398.11;241755.755025235;1992006.24988611;2006622.72105973;83.0802563089951;21.1933959464918
26;316.23;506161.081644217;2473195.00684186;2524458.86923094;78.4336368305548;19.8733709498246
27;251.19;1005251.52948733;3341060.63531096;3489013.72974672;73.2546166794118;18.5133429532583
28;199.53;575797.992585259;3595811.24058056;3641620.76638284;80.9024492208172;17.2183189565279
29;158.49;366630.694411532;5918486.60544056;5929831.51235041;86.4552453021351;15.8182939600626
30;125.89;-4665848.61780979;8097599.31952566;9345654.50163337;119.950609362256;14.5582709632439
31;100;-1569281.17388944;3604904.19528762;3931663.4723646;113.524379293932;12.4432329685839
