Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;-592.996690469912;31356.5470765417;31362.1537786913;91.0834151470718;50.5039368724898
2;79433;-977.111730333699;39831.1618349992;39843.1449619561;91.4052603418871;49.2189118757342
3;63096;-1423.82179294218;50709.5991133904;50729.5841766796;91.6083256995608;47.8988878790669
4;50119;-1662.07980388607;64323.806583007;64345.2764591355;91.4801514010406;46.5638628824375
5;39811;-1888.33411673742;81619.0623655171;81640.9036400419;91.3253555472664;45.3538418854926
6;31623;-1800.97227878124;103549.971734732;103565.632076537;90.9964049842127;44.0988168886612
7;25119;-1938.25991903859;130506.919804246;130521.312314525;90.8508816922596;42.898794891691
8;19953;-1286.63508558874;164593.217121021;164598.245896155;90.4478754347156;41.648773894847
9;15849;-852.687066028091;207237.691117408;207239.445316056;90.2357442517846;40.4437508978893
10;12589;-507.004691979486;260545.156367742;260545.649667096;90.1114938875938;39.3287309007045
11;10000;517.082578312141;326724.736128465;326725.145301992;89.9093223702226;37.193688906095
12;7943.3;2113.96774692525;411695.954170696;411701.381513537;89.7058014191751;35.9786669091626
13;6309.6;6339.00122387466;516884.618856209;516923.487710362;89.2973677369269;34.7586459122429
14;5011.9;4693.00191483759;647875.259821305;647892.256903489;89.584974891255;33.5336239153357
15;3981.1;13482.2976883261;807741.15831965;807853.669419485;89.043744370571;32.3435989183403
16;3162.3;23474.8684576791;1008565.62339607;1008838.78104751;88.6666528692507;31.14357692137
17;2511.9;48967.2071856447;1287316.67075243;1288247.64629192;87.8216219897785;29.9635569243493
18;1995.3;77584.1775694008;1651477.40257262;1653298.79810551;87.3102992273546;28.7785329273412
19;1584.9;80035.5222456179;1913320.35376397;1914993.59292625;87.6046741279276;27.6135129302826
20;1258.9;-81714.0954501565;2257430.92544785;2258909.37767843;92.0730776257024;26.4284919332745
21;1000;113842.490566298;2935864.56980388;2938070.94619719;87.7793839524067;25.1334679365441
22;794.33;195321.979476051;4902868.41168358;4906757.51774541;87.7186395149474;23.9634439394981
23;630.96;12429.0710499644;4803297.24925642;4803313.33003808;89.851741067008;22.7684239425153
24;501.19;1259574.30439205;7079921.85195274;7191093.16154662;79.9121729691653;21.608400945444
25;398.11;1157172.61321211;9160084.04449954;9232886.23124227;82.8000930314943;20.5233829481834
26;316.23;-464945.392052737;7170888.48118084;7185945.7155703;93.7097456381281;18.5033429532836
27;251.19;5660591.71056765;6563270.86567834;8667111.57018353;49.2233786269895;17.3383209562249
28;199.53;-1850022.49064365;6933750.44380299;7176313.70780469;104.939304199713;16.0632999594441
29;158.49;16716157.4620149;23865034.0831786;29137085.854391;54.9908495449616;14.8282739625622
30;125.89;-5851741.97884369;2534602.09893944;6377075.50425033;156.580810434226;13.7232559653521
31;100;893856.475047319;5743266.4130398;5812408.14887728;81.1537099674165;11.7082199704396
