Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;-615.640371686329;29317.3082784434;29323.7715473391;91.2029894150775;51.0639458710759
2;79433;-933.841027129873;37215.1616226583;37226.876227593;91.4374228535392;49.748923874396
3;63096;-1268.48129434954;47340.2023653163;47357.1938018208;91.53487384212;48.4288988777288
4;50119;-1543.21529822257;60089.6313217365;60109.4443980219;91.4711405255382;47.1088758810615
5;39811;-1697.63410009757;76232.5736199273;76251.4737054665;91.275717065555;45.8638528842049
6;31623;-1562.76336681493;96457.311447583;96469.9702551871;90.9282024420545;44.5438248875377
7;25119;-1457.28531765244;121409.505148381;121418.250773398;90.6876915331075;43.2638018907694
8;19953;-1151.41306471707;153394.813987839;153399.135298766;90.4300658438519;42.0437788938497
9;15849;-377.672874272514;193362.078591616;193362.447424701;90.1119094000889;40.7537548971067
10;12589;678.249111997109;242892.483478597;242893.430442774;89.8400085913927;39.6137368999849
11;10000;1295.13656603381;304746.913192094;304749.665264516;89.7565015126836;37.4836959053628
12;7943.3;2580.55687373891;383697.669370707;383706.347034149;89.6146633137278;36.2436749084935
13;6309.6;6853.02624747382;482708.649689346;482757.293527152;89.1866250913552;35.053648911498
14;5011.9;7122.74721195063;606151.38372867;606193.231176353;89.326761296655;33.8336259145783
15;3981.1;12974.8551327206;764010.18278753;764120.348026899;89.0270640363531;32.6286039176207
16;3162.3;22641.2061523136;955433.17466916;955701.404976691;88.6424976194913;31.3985839207262
17;2511.9;7887.65735851124;1199724.06420694;1199749.99286344;89.6233109103883;30.1535589238696
18;1995.3;28745.3896205089;1495408.8563578;1495685.10893763;88.8987716044981;28.9735399268488
19;1584.9;62277.0157313111;1918332.88778489;1919343.50626601;88.1405951798769;27.7935149298281
20;1258.9;162521.896549059;2150081.2487082;2156214.91111265;85.6773054657647;26.5934929328579
21;1000;55934.424252682;3138899.50041751;3139397.82976573;88.979111219931;25.2734699361906
22;794.33;-181877.39171773;3453316.41393792;3458102.60697844;93.0148374492592;24.0434469392961
23;630.96;145354.456148585;4906179.30009444;4908332.02244891;88.3030050559137;22.8334239423511
24;501.19;553624.762475396;5566889.86294876;5594351.00112852;84.3206340405713;21.6384029453683
25;398.11;1882837.61746679;5180376.25469488;5511930.30017204;70.026033048371;20.4483779483728
26;316.23;-3401007.24579047;8407973.91372249;9069778.14611566;112.023225524851;19.2233589514657
27;251.19;4870814.49655842;14532819.6290629;15327350.7244651;71.4709274830502;18.0333369544702
28;199.53;-41491603.668627;4597192.80001199;41745507.0233301;173.677521711029;16.8133119575505
29;158.49;-3427357.89412864;15526778.9529675;15900554.9207806;102.447771792765;15.5632879607065
30;125.89;-4404620.76599963;-6507882.59954988;7858321.70516067;-124.090660018465;14.4382709635469
31;100;6766759.17743946;-4615080.3905944;8190726.2667672;-34.2948583609027;12.4432339685839
