Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;98.8271549539943;8276.42531485701;8277.01533156501;89.3158749618845;52.2729678680234
2;79433;118.741044497289;10431.3555320638;10432.0313300894;89.3478252314592;50.9679448713183
3;63096;148.184009015769;13133.5318676984;13134.36781198;89.3535662654064;49.647920874651
4;50119;197.222983648364;16525.372794305;16526.5496367522;89.3162327851584;48.3278948779838
5;39811;265.629497982188;20795.7339919208;20797.4304012041;89.2681854115522;47.1278718810136
6;31623;385.947576766013;26159.1866785451;26162.0336215476;89.1547304872237;45.9178498840686
7;25119;541.899258463133;32867.6774413298;32872.1443656117;89.0554328754701;44.6928278871615
8;19953;743.722088083646;41263.6981488738;41270.3998946664;88.9674332311232;43.4528068902922
9;15849;1011.87491764262;51816.6116420363;51826.4906482251;88.8812700710069;42.2377808933599
10;12589;1366.3734169056;65006.6217316908;65020.9800393808;88.7958779902053;41.0377618963896
11;10000;2090.94686140059;81527.2563970823;81554.0654683308;88.530845043256;39.7727358995835
12;7943.3;2768.50950378943;102293.396306216;102330.853474078;88.4497024916709;38.6677169023734
13;6309.6;3151.32704697866;128271.090566979;128309.795173241;88.5926569622787;35.8276649095438
14;5011.9;4162.59107072891;160994.599760815;161048.403644889;88.5189206599262;34.6576429124979
15;3981.1;5722.54629129068;201878.338399299;201959.429220123;88.3762994277061;33.462620915515
16;3162.3;7400.7429668475;254540.575049231;254648.140269774;88.3345998461294;32.2575989185574
17;2511.9;9062.70547508214;316105.413746375;316235.300417735;88.3577865073841;31.0125759217008
18;1995.3;13496.7589594593;394973.319416936;395203.853161432;88.0428892114689;29.8375539246674
19;1584.9;17062.1283351503;494528.336198926;494822.585910347;88.0239750699288;28.6375299276972
20;1258.9;46096.0861990529;621411.855435428;623119.204678023;85.7575917466079;27.3975069308279
21;1000;34752.7319719475;780024.481456057;780798.273595879;87.4489660525797;26.1074829340849
22;794.33;40703.919645743;1001881.21134717;1002707.71949008;87.6734957221641;24.9424619370263
23;630.96;39228.9355238287;1226572.81505997;1227199.97556489;88.1681588568109;23.727438940094
24;501.19;41438.710643855;1529770.68755706;1530331.83435771;88.4483407988126;22.5424169430859
25;398.11;234069.158294448;1771094.23760105;1786494.65975365;82.4713768051533;20.3623789485899
26;316.23;496266.366311483;2602585.46123127;2649477.56913403;79.2043198821803;19.1073559517586
27;251.19;-492460.730313885;3588775.77959175;3622406.5435958;97.8134705230913;17.9273339547378
28;199.53;131960.770896604;2927381.81568147;2930354.5757874;87.4189631963796;16.7373109577424
29;158.49;694684.538912564;5129479.89419184;5176306.65566894;82.2873675274896;15.5022869608605
30;125.89;-1962271.0885939;2981628.97881279;3569400.39676522;123.349733338868;14.4122679636125
31;100;-1491659.12657378;3438514.85184078;3748123.70876689;113.451640068355;12.4672339685233
