Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;42.4696305619758;7132.90542416856;7133.03185606607;89.6588624564297;57.6160688545334
2;79433;47.8830247589965;8998.62581369447;8998.75320913673;89.6951235230163;56.1360408582701
3;63096;61.7511606439565;11336.3288948432;11336.4970788113;89.6879019721011;54.7960168616534
4;50119;90.0023184366059;14286.3408017529;14286.6243011131;89.6390478958455;53.2459878655668
5;39811;135.145893980077;17980.7959546167;17981.3038341;89.569365919259;51.9009608689627
6;31623;205.820185550417;22610.2874952581;22611.2242606853;89.478454121258;50.5009358724974
7;25119;299.791490924486;28421.2854556554;28422.8665318943;89.3956589266281;49.1709108758554
8;19953;413.497113350336;35744.2769298281;35746.6685594475;89.3372202566701;47.7208858795163
9;15849;583.766525062493;44892.7024126141;44896.4977839398;89.2549908725144;46.2658568831899
10;12589;775.543719745863;56407.5500465459;56412.8812445776;89.2122937030717;44.9658328864722
11;10000;1250.99095890726;70729.2685299575;70740.330824517;88.9867132683248;41.3357668956372
12;7943.3;1616.60630101612;88962.8305086905;88977.5175426381;88.9589525822959;40.1057438987427
13;6309.6;1714.61339955135;111583.095127857;111596.267936801;89.1196481862129;37.0656869064181
14;5011.9;2278.8778681931;140004.779184472;140023.324767093;89.0674707309833;35.7956649096246
15;3981.1;3027.77663290494;175758.212821395;175784.290553819;89.0130665208604;34.4956409129069
16;3162.3;3381.91083390732;220255.471197316;220281.433428331;89.1203215481146;33.220615916126
17;2511.9;6167.53414606452;277548.803848921;277617.321137226;88.7270147646582;31.8605929195597
18;1995.3;8383.60383122362;349341.443727785;349442.025404804;88.6252620642413;30.5355679229051
19;1584.9;10668.4783309916;438043.857828027;438173.752991619;88.6048475357885;29.2255429262126
20;1258.9;914.095238418562;557762.379347868;557763.12838507;89.9061002421748;27.8705189296337
21;1000;17237.5588226902;671627.45103514;671848.618676949;88.5298060738536;26.4254889332821
22;794.33;23814.8504693623;872957.896788077;873282.678556916;88.4373220312604;25.1604659364759
23;630.96;32465.7404848706;1071216.75835729;1071708.62070375;88.2640481771217;23.9154439396193
24;501.19;56407.8116008457;1315790.12863471;1316998.67267289;87.5452378503157;22.5854199429773
25;398.11;91789.459878917;1897782.4585388;1900000.93812672;87.2309505738013;21.26539594631
26;316.23;75482.8093204649;1887136.02338237;1888645.02362152;87.7094697288068;19.9253689496933
27;251.19;518953.573739123;2424939.66234032;2479847.81341271;77.9205229005108;18.7003479527862
28;199.53;-164359.972925816;2876447.57031482;2881139.50121653;93.2703199640822;17.4103249560432
29;158.49;599622.690345876;4215099.30714561;4257535.61815718;81.903660923681;15.8802939599061
30;125.89;-3770394.87657339;4161210.54145639;5615296.13605718;132.179134387069;14.535269963302
31;100;-3793915.61260982;1974379.12370894;4276911.10496141;152.507228786787;13.1502469667988
