Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;-321.49245881166;30179.1812012987;30180.8935484338;90.6103367806665;55.536029859785
2;79433;-581.222795731709;38255.3838484031;38259.7989190605;90.8704409098413;54.126002863345
3;63096;-855.820047842195;48488.9974415621;48496.5493704666;91.011152810081;52.7709778667661
4;50119;-1061.22997083127;61453.8028415121;61462.9652126745;90.9893277971627;51.3559518703387
5;39811;-1186.7945899034;77906.2636565669;77915.3027224122;90.8727547532255;50.0659288735957
6;31623;-1063.97014747395;98415.6738167536;98421.4249301459;90.6193995508439;48.8009038767896
7;25119;-985.829892577468;124300.464238376;124304.373496884;90.4544046416322;47.3958798803369
8;19953;-581.154970145898;156764.931499231;156766.008716998;90.2124044847068;46.2058588833414
9;15849;218.957422509538;197380.562365125;197380.683811577;89.9364408992126;44.8908308866615
10;12589;910.285670603805;248096.625976814;248098.295925388;89.7897783058035;43.6808108897166
11;10000;1969.2068270457;310824.317992758;310830.555819712;89.6370112499552;41.5357688951323
12;7943.3;4060.1683119514;390996.656023079;391017.736155218;89.4050533584282;40.215748898465
13;6309.6;8342.5061642768;491630.029673909;491700.806879824;89.0278370037899;38.9707219016084
14;5011.9;6326.63023089565;615910.905405583;615943.398087521;89.4114790642679;37.7206989047644
15;3981.1;10410.9082986747;776560.580706398;776630.364149292;89.2319139186169;36.385675908135
16;3162.3;24009.7671651108;964593.076511418;964891.844805979;88.5741403696797;35.0456519115182
17;2511.9;31419.5058214157;1214432.65540214;1214839.02631301;88.5179881512943;33.7406249148131
18;1995.3;51581.2206945857;1528222.99713391;1529093.24480141;88.0668627968619;32.4806019179944
19;1584.9;77544.4304519025;1926720.17705894;1928280.00544012;87.6952688561373;28.765531927374
20;1258.9;430773.460457005;2561997.43325887;2597960.08865786;80.4555803302086;27.4255089307572
21;1000;-28385.5409352066;3155236.46264007;3155364.14286967;90.5154376985571;26.0104839343298
22;794.33;-230481.859166652;3553263.13193936;3560730.37061281;93.7112826243444;24.7554609374985
23;630.96;237130.730166759;4470949.44562049;4477233.51283844;86.9639845462402;23.4804349407176
24;501.19;809937.361107588;6682274.82441916;6731180.82939272;83.0890715503682;22.2154129439115
25;398.11;258153.514892666;5998247.80393649;6003800.45926582;87.5356162246339;20.9353899471432
26;316.23;-9373526.42962275;11155715.0024159;14570963.4184553;130.038466455621;19.5953649505265
27;251.19;5365613.1603676;9816883.77757008;11187538.2318466;61.3403118296803;18.3453399536825
28;199.53;-3447791.23081455;7740381.89446389;8473533.86984593;114.009581849555;17.0903159568511
29;158.49;-35473.9352469755;14402407.3571672;14402451.0442447;90.1411224257041;15.8002919601081
30;125.89;-1380821.2057007;6892891.86772846;7029838.22732145;101.327857401723;14.5702709632136
31;100;-2621558.66878944;-10100035.5813218;10434715.549447;-104.550564921328;12.5102349684147
