Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;-377.122832739902;28619.085625602;28621.5702517614;90.7549610923832;53.538991864827
2;79433;-564.612448595127;36307.8200460507;36312.209843433;90.8909183485496;52.0539648685764
3;63096;-685.356519827122;46004.8618078545;46009.9665672456;90.8534996065384;50.6889388720227
4;50119;-802.597989117459;58181.52067552;58187.0562208477;90.7903293055084;49.2639128756206
5;39811;-808.556246239585;73628.2215052483;73632.6609951674;90.6291744839496;47.9438898789533
6;31623;-530.634535587622;92964.3695569616;92965.8839582224;90.3270370069876;46.5788628823997
7;25119;-273.545740213572;116994.102739955;116994.422530304;90.1339639134856;45.253840885745
8;19953;159.121122953104;147384.055196185;147384.141092602;89.9381414412694;43.8088128893934
9;15849;795.452857285651;185763.63949853;185765.342583024;89.754656976536;42.4437858928397
10;12589;1532.61903109307;232665.817917136;232670.865705495;89.622586021447;41.1537638960967
11;10000;2946.95536357551;291954.313829168;291969.186575185;89.4216822199818;38.9437219016766
12;7943.3;3978.19298173196;366697.029660694;366718.608174409;89.3784385802384;37.5836959051103
13;6309.6;32017.51671023;395999.309507981;397291.548496929;85.3775505163121;36.2436709084935
14;5011.9;32233.4203524232;522457.197575764;523450.586671117;86.469565280322;34.933647911801
15;3981.1;46693.7840975329;653142.570192256;654809.534498921;85.9108272384377;33.6286249150959
16;3162.3;57916.8008642079;812143.015124874;814205.522480943;85.9209401087651;32.3035979184413
17;2511.9;66637.3300177205;1016451.55823311;1018633.54744796;86.249125811988;31.0035759217235
18;1995.3;99146.8523824966;1127294.93905613;1131646.57820316;84.9737055303799;29.7585529248669
19;1584.9;139105.060316158;1404762.76757503;1411633.32738025;84.3447859916375;28.4485289281744
20;1258.9;211255.566365431;1706146.96992039;1719176.08094369;82.941547335708;27.1285039315071
21;1000;285062.434164318;2207704.99915599;2226032.78382643;82.642584786458;25.7134779350797
22;794.33;443343.324430975;2545953.58466627;2584266.42562112;80.1217689455485;24.4384529382988
23;630.96;471266.498624594;3490831.53207561;3522498.67254187;82.3114838547523;23.0984279416821
24;501.19;312530.640315584;4143366.73243987;4155136.97495347;85.6863963767177;21.873405944775
25;398.11;1318978.05649798;5202622.92191882;5367214.21048185;75.7740026652655;20.5383799481456
26;316.23;-88718.0713039923;5462142.26689838;5462862.71473243;90.9305367510416;19.1733579515919
27;251.19;1738163.00328204;7686222.80288807;7880306.5677431;77.2574577630445;17.8983309548111
28;199.53;-1085346.95949349;7736752.94181875;7812510.74272687;97.98560027359;16.5033049583332
29;158.49;1749561.20583675;12043548.1447547;12169963.6946046;81.7344854978549;15.0532789619941
30;125.89;5802236.73026963;3762099.10748071;6915152.98229888;32.9588803626761;13.8532579650239
31;100;29306.4629072978;5547795.80002659;5547873.20579345;89.6973354681889;11.7732219702755
