Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;53.5627925183752;6275.4667759408;6275.69535817978;89.5109770255206;56.0150388585756
2;79433;64.2683455554096;7915.49782251261;7915.7587253808;89.5348082804099;54.5100088623755
3;63096;81.0449787479756;9962.21650860246;9962.54616314783;89.5338956151505;53.094984865948
4;50119;116.857848197185;12549.2570356263;12549.8011100934;89.4664809263305;51.6349568696343
5;39811;162.719867597396;15797.3612041671;15798.1992255521;89.4098487823299;50.3649318728408
6;31623;237.747916217401;19849.6402602155;19851.0640151009;89.313775934121;49.144910875921
7;25119;341.440547834773;24953.2707823097;24955.6066723087;89.2160594207979;47.7448838794558
8;19953;457.546292837926;31342.99974184;31346.3392029607;89.1636534546955;46.3548578829652
9;15849;632.067593263294;39356.4654616005;39361.5406592858;89.0799048659516;45.0648358862222
10;12589;850.364688773191;49448.6217985536;49455.933090786;89.0147853704043;43.4998058901735
11;10000;1323.07331712705;62029.2747573962;62043.3836112364;88.778076575155;42.189782893481
12;7943.3;1708.65107921231;77943.1601213987;77961.886189474;88.7441769397041;40.9797598965361
13;6309.6;2200.85907026888;97842.9563033408;97867.7060057333;88.7114179740228;39.7697388995911
14;5011.9;2526.43981673913;122778.596960767;122804.587739229;88.821179612896;36.7546819072033
15;3981.1;3282.58326269912;154132.272900718;154167.223826655;88.7799457212242;35.3546559107381
16;3162.3;4747.00095908185;192607.674405588;192666.162722038;88.5881763456702;34.0046309141466
17;2511.9;5860.10413310152;242611.353032099;242682.11602942;88.6163303748994;32.7146079174036
18;1995.3;5713.62659729352;304547.157722365;304600.749844226;88.9251967026968;29.0195399267327
19;1584.9;11307.1149977531;381012.457002986;381180.197860572;88.3001608729329;27.799514929813
20;1258.9;23883.3726872389;474667.404038417;475267.882301642;87.1195338302566;26.3294899335244
21;1000;17872.3699963297;603272.475934733;603537.158615531;88.3030687066213;24.874459937198
22;794.33;22955.615597362;761794.53483173;762140.324078805;88.2739939101848;23.6494379402909
23;630.96;39555.7823377557;944242.894548521;945071.057551611;87.601194529747;22.3244159436363
24;501.19;75579.9449903679;1164102.34025417;1166553.29354041;86.2852557175793;21.124390946666
25;398.11;-67877.6835159753;1432937.31520643;1434544.08410146;92.7120515060263;19.8893679497842
26;316.23;321344.43069099;1717946.53660387;1747742.12793688;79.4051726417023;18.6693459528644
27;251.19;240938.790624183;2132917.47795836;2146482.81348994;83.5550703793607;17.4093219560457
28;199.53;100368.8061476;2674688.30337686;2676570.83176749;87.8509600699183;16.0192999595552
29;158.49;-119155.887963202;3708711.26131672;3710624.92653916;91.8402030666466;14.6042709631278
30;125.89;-2895118.52555574;3699594.10255607;4697734.32631984;128.044967999933;13.1592459667761
31;100;-320746.315877228;3191712.35744785;3207788.33027277;95.7385867478436;11.7292209703866
