Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;0.784960523702116;-0.598728616890554;0.987238056627871;-37.3345760763801;44.1898188884314
2;79433;0.784600239783209;-0.483474100689702;0.921599013837138;-31.6415572720126;42.8797928917389
3;63096;0.780926679042425;-0.390736597576487;0.873224808812645;-26.5810878598756;41.5747708950338
4;50119;0.774435159171055;-0.315278689702372;0.836152179893554;-22.1516277863785;40.2147458984675
5;39811;0.772520807875445;-0.254241251922556;0.813281631896159;-18.2166868196664;39.0047239015225
6;31623;0.770710979632255;-0.204664275990274;0.797422648281533;-14.8718051327547;37.7046969048048
7;25119;0.769310560054796;-0.164310438105906;0.78666171756504;-12.0561697581268;36.3996749080997
8;19953;0.769048926491597;-0.131548920916774;0.78021879619261;-9.70673045598838;35.1846509111673
9;15849;0.772464270330471;-0.105188470111375;0.779593267788761;-7.75442013081421;34.0046329141466
10;12589;0.785638647032612;-0.0840082597354468;0.790117378251492;-6.10344006727573;32.8996099169365
11;10000;0.751337779780979;-0.0668600810522211;0.754306787563602;-5.08524456828119;30.8395709221376
12;7943.3;0.755408589756585;-0.053350156791445;0.757290153578999;-4.03976324896781;29.6595499251168
13;6309.6;0.757959003109785;-0.0424470698747087;0.759146628877536;-3.20531884455987;28.4445259281845
14;5011.9;0.756331358880751;-0.0337723297081846;0.757084998319424;-2.55671989959387;27.2245029312647
15;3981.1;0.754823211617464;-0.0268605149815842;0.755300978459302;-2.03802029622049;26.0694839341809
16;3162.3;0.754205845949522;-0.0213935244669463;0.754509205347126;-1.62479523848148;24.7994609373874
17;2511.9;0.752661528387115;-0.017023549545764;0.752854021409971;-1.29568369387834;23.544436940556
18;1995.3;0.753485910973358;-0.0135529351613023;0.753607789295491;-1.03046685569899;22.3794159434974
19;1584.9;0.757472807008413;-0.0108199660128559;0.757550080867083;-0.818374233542877;21.1793939465272
20;1258.9;0.758820614105034;-0.00861446456898946;0.758869510120515;-0.650418888880187;20.0143709494686
21;1000;0.756527034941451;-0.00697990744481042;0.75655923344127;-0.528610178559979;18.7043479527761
22;794.33;0.754353113669817;-0.00567279887384748;0.754374443330639;-0.430860960031297;17.5343229557301
23;630.96;0.756235899117539;-0.00463686780584265;0.756250114484065;-0.351305229569992;16.3393029587472
24;501.19;0.758835214167642;-0.00386348234528175;0.758845049240412;-0.291709340606341;15.139281961777
25;398.11;0.750792569477034;-0.00314697166204861;0.750799164765497;-0.240155731266328;13.9492599647815
26;316.23;0.749697916738586;-0.00262511415365566;0.749702512725211;-0.200623936223563;12.7342369678491
27;251.19;0.749764863288622;-0.00205674003170052;0.749767684287449;-0.157172246331628;11.5642129708032
28;199.53;0.749220256302726;-0.00161478095061151;0.749221996454883;-0.123488372438975;10.3591909738456
29;158.49;0.750280329282113;-0.0013330484687183;0.750281513517357;-0.101799244620365;9.14917097690056
30;125.89;0.749366559750134;-0.000947075182430173;0.749367158222958;-0.0724123344411259;7.94914697993033
31;100;0.750280931323267;-0.000779901505544125;0.750281336668897;-0.0595577559600898;6.79412698284648
