Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;-339.356694677672;25668.1228553427;25670.3660644562;90.757459893222;51.2069498707149
2;79433;-487.127760315447;32494.0529722455;32497.7041037973;90.8588732900907;49.8469238741486
3;63096;-615.336503431146;41169.9491518621;41174.5473828112;90.856293495769;48.4518988776707
4;50119;-696.071927213546;52080.7195137294;52085.3708942887;90.7657269252051;47.1018748810792
5;39811;-733.674499567117;65854.9936168264;65859.0803347842;90.6382919660871;45.8568508842226
6;31623;-556.309675656745;83172.9305385873;83174.7909815942;90.3832222936303;44.571827887467
7;25119;-306.789479063235;104609.44479709;104609.89465887;90.1680315958989;43.2868018907113
8;19953;-61.9357893261195;131850.002559177;131850.017106169;90.0269143648032;41.9167778941703
9;15849;696.20319572362;165825.616805941;165827.078271193;89.7594504926497;40.5617538975914
10;12589;1267.62272476326;208615.328429017;208619.179662175;89.6518542581171;39.4367309004318
11;10000;2358.42324497966;260972.551051553;260983.207434038;89.4822289956312;37.3166929057844
12;7943.3;3847.94037440579;328857.227057227;328879.73855635;89.3296158203204;36.0516679089783
13;6309.6;5078.50595783146;412437.61623677;412468.881868479;89.2945302718264;34.8216449120838
14;5011.9;8987.56984795672;518789.821481952;518867.66644786;89.0075011267702;33.6016219151641
15;3981.1;14838.7249519972;651121.336451233;651290.398010166;88.6944842303531;32.4065999181812
16;3162.3;26811.1945427383;821971.331844733;822408.481551238;88.1317793215602;31.166577921312
17;2511.9;38004.8896226369;1026385.79416794;1027089.17339488;87.8794275665395;29.9415549244048
18;1995.3;49134.9001409603;1263819.48089955;1264774.25602874;87.7735702580656;28.7265349274725
19;1584.9;74001.1318786215;1640845.18207304;1642513.03771131;87.4177445503118;27.5065089305527
20;1258.9;-74718.7928273407;1958667.3386211;1960091.99819362;92.1846469415401;26.2664879336835
21;1000;22350.2633776053;2421142.87543036;2421246.03407424;89.4711012712473;24.9314629370541
22;794.33;212550.836878136;2905664.30465104;2913428.03404869;85.816236107111;23.6964399401722
23;630.96;115279.396786066;3786761.27983583;3788515.58394409;88.2562978963613;22.4814189432399
24;501.19;-135507.115804038;5234954.34788469;5236707.85922514;91.4827736708756;21.2413959463706
25;398.11;-289218.199734335;5253954.42333493;5261908.80285266;93.1508218679211;20.0213719494509
26;316.23;383457.456984411;4935647.77691428;4950521.0431909;85.5575336833913;18.74634895267
27;251.19;1869830.07261423;5323818.98824035;5642633.52699793;70.6477206510763;17.5513259556872
28;199.53;1997555.08325782;6175164.39608278;6490214.29764053;72.0745347152796;16.2763039589063
29;158.49;-72461.0949701575;17179535.0777821;17179687.8929458;90.2416648810261;14.9212789623274
30;125.89;6105309.6029281;4014846.72814053;7307106.10283351;33.3288879396631;13.7712569652309
31;100;4472200.70373981;401620.504928823;4490198.00949915;5.13161182331575;11.751220970331
