Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;-304.223666884458;24896.8774203368;24898.7360587394;90.7000823589932;50.901941871485
2;79433;-405.920700523363;31514.1516653681;31516.7658049321;90.7379623324932;49.5319188749439
3;63096;-462.702380201687;39848.8116457824;39851.497877416;90.6652570329628;48.1618938784029
4;50119;-531.733091252227;50365.9884682336;50368.7952452962;90.604871085812;46.806866881824
5;39811;-483.711881671184;63663.490702098;63665.3282844013;90.4353219674521;45.5368458850305
6;31623;-369.696360122123;80193.889902751;80194.7420541599;90.2641334783437;44.1918208884264
7;25119;-111.908672759926;101073.667345127;101073.729297698;90.0634378091582;42.976796891494
8;19953;129.234590236601;126832.207045385;126832.272886607;89.941618976776;41.686771894751
9;15849;715.456988211599;160042.801499097;160044.400684252;89.7438660633693;40.3667498980838
10;12589;1328.71769278752;201225.851144171;201230.237935066;89.6216748041732;39.2117279009999
11;10000;2102.87865550447;252108.614408584;252117.384481229;89.5220977358666;37.0966889063399
12;7943.3;3542.97776869931;317320.386909472;317340.16550044;89.3603019328024;35.8666649094454
13;6309.6;5474.47420548668;398085.347028522;398122.987764642;89.2121174556031;34.6366429125509
14;5011.9;8799.7695686755;499887.945268521;499965.392571571;88.9914988117866;33.4216189156185
15;3981.1;12618.3080400817;623625.209492477;623752.85459253;88.8408468021951;32.2265969186357
16;3162.3;15005.92622032;798386.390615873;798527.398742442;88.9232343774803;30.9965759217412
17;2511.9;24471.1549330277;1004774.72989688;1005072.68158233;88.6048447153489;29.7915519247836
18;1995.3;38230.678605473;1264735.77263516;1265313.46288961;88.2685792772225;28.6015299277881
19;1584.9;8729.05930544223;1565519.24651847;1565543.58217717;89.6805321458281;27.3665079309062
20;1258.9;136914.242673625;2089679.2922888;2094159.74903242;86.2513807402654;26.1464859339865
21;1000;136823.783629852;2524116.67714212;2527822.33307521;86.8972272244576;24.8264639373192
22;794.33;-193011.831775232;3116978.52456775;3122948.71712966;93.5433869799908;23.626439940349
23;630.96;207209.762700073;3657354.80009692;3663219.89778804;86.7573376986967;22.3964139434545
24;501.19;-461962.649568937;4422276.86844432;4446340.31432306;95.9636376758733;21.2013929464716
25;398.11;769204.221667163;6016433.89498834;6065406.16508038;82.714230179065;19.9763699495645
26;316.23;-1168508.46267983;5181138.7036119;5311272.00333589;102.709349510856;18.7113499527584
27;251.19;1434288.61567383;6654778.8138153;6807588.77238164;77.8372284195325;17.4913239558387
28;199.53;6008129.94063811;7589268.73846022;9679598.40944663;51.6327055622089;16.2263009590325
29;158.49;-3554997.02736673;16055926.1380031;16444779.3543603;102.484638282755;14.8862759624158
30;125.89;2099269.31741215;5646870.31405161;6024456.49089986;69.6069790560835;13.7412559653067
31;100;-4323181.93189289;-331424.274995036;4335867.16428227;-175.616158944904;11.7362209703689
