Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;0.625293355299785;-0.5966516499778;0.864282923355133;-43.657264942189;45.2798408856794
2;79433;0.620341571163859;-0.481693726110845;0.785399586636379;-37.8292524867547;43.9398148890626
3;63096;0.615415301195253;-0.389363124461455;0.72824421428229;-32.3208631725596;42.5847908924837
4;50119;0.609401612364209;-0.314242693757585;0.685652095258317;-27.2782478835777;41.2347638958922
5;39811;0.604491490228594;-0.253411009113886;0.655459458165724;-22.7440902893167;40.0247438989472
6;31623;0.60042585285848;-0.203995097140728;0.634133427945798;-18.7652279524996;38.7147169022547
7;25119;0.597325661254313;-0.163755934237867;0.61936576559495;-15.3308841824586;37.3896949056001
8;19953;0.594985014135169;-0.131196942823411;0.609278101404963;-12.4349932854976;36.1446719087435
9;15849;0.593761896020337;-0.104868698968501;0.602951601033625;-10.0161388067981;34.9196479118364
10;12589;0.594166826597135;-0.0837589165453954;0.600041476840867;-8.02403781293377;33.7996279146641
11;10000;0.60991249451573;-0.0667271301902374;0.61355175891674;-6.24358075127223;31.6945889199789
12;7943.3;0.610263606031361;-0.0531373356465884;0.612572644905091;-4.97635056262639;30.4795669230465
13;6309.6;0.611765590170023;-0.042339633919025;0.613228980003778;-3.95906575705003;29.1845419263161
14;5011.9;0.598943987695767;-0.0336795586795348;0.599890167505482;-3.21844206577298;27.8995169295605
15;3981.1;0.595868847481582;-0.0268389878650116;0.596472978992885;-2.57896026147126;26.6894969326155
16;3162.3;0.584036824359333;-0.0213511444668745;0.584426970268981;-2.09367948478641;25.3594719359735
17;2511.9;0.583950446658807;-0.0170320668262775;0.584198780770206;-1.67067079977941;24.1144469391169
18;1995.3;0.5846464358538;-0.0135849333253571;0.584804245341983;-1.33109390316294;22.9094259421593
19;1584.9;0.586697885422683;-0.0108260408953284;0.586797760664536;-1.05713022072095;21.6844019452521
20;1258.9;0.587472883802286;-0.00872892319170961;0.587537729259204;-0.851262538516886;20.4743819483072
21;1000;0.587542688828549;-0.00695452277611656;0.587583846427831;-0.678157015099344;19.1093549517535
22;794.33;0.587308632172601;-0.00562655347358571;0.587335583400532;-0.548890119133036;17.8693309548843
23;630.96;0.587942831260422;-0.00459858772782574;0.587960814884471;-0.448129106887473;16.6443109579772
24;501.19;0.588060842662129;-0.00376521799807994;0.588072896449978;-0.36684665371405;15.4742869609312
25;398.11;0.587356093240735;-0.0031024906467198;0.587364287061473;-0.302640883260019;14.2592669639988
26;316.23;0.587919735482861;-0.00247730196223674;0.58792495473083;-0.241424293851631;12.9992409671801
27;251.19;0.588599804135612;-0.00208049653959492;0.588603481041636;-0.2025199018787;11.7542199703234
28;199.53;0.589358880017018;-0.00175614375689913;0.589361496448325;-0.170726752584368;10.5091969734668
29;158.49;0.589520666955888;-0.00136351804695015;0.589522243812377;-0.13252069765906;9.25417397663546
30;125.89;0.589647067941901;-0.00102548267771751;0.589647959673569;-0.0996456581458898;8.00414797979147
31;100;0.589074432535015;-0.000803578224890428;0.589074980630152;-0.0781592438795345;6.82912898275811
