Date,Time,Breath_rate,Temperature
26-Jun-18,15:00:56,29.895367,23.44
26-Jun-18,15:01:00,29.895367,23.5
26-Jun-18,15:01:03,29.895367,23.44
26-Jun-18,15:03:58,29.895367,23.5
26-Jun-18,15:04:09,29.895367,23.5
26-Jun-18,15:04:14,29.895367,23.5
26-Jun-18,18:12:25,29.895367,-127
26-Jun-18,18:12:44,29.895367,-127
26-Jun-18,18:24:12,29.895367,21.69
26-Jun-18,19:03:29,29.895367,21.56
26-Jun-18,19:17:56,29.895367,21.81
26-Jun-18,19:18:18,29.895367,25.44
26-Jun-18,19:18:21,29.895367,26.75
26-Jun-18,19:18:25,29.895367,27.56
26-Jun-18,19:18:29,29.895367,28.25
30-Jun-18,10:32:58,29.895367,24.81
30-Jun-18,10:35:11,29.895367,25
30-Jun-18,10:35:15,29.895367,25
30-Jun-18,10:35:20,29.895367,25
3-Jul-18,10:56:42,29.895367,24
3-Jul-18,11:02:19,29.895367,23.31
3-Jul-18,11:02:27,29.895367,23.25
3-Jul-18,11:02:41,29.895367,23.31
3-Jul-18,11:08:52,22.777314,23
3-Jul-18,11:39:44,28.31454,30.37
3-Jul-18,11:40:06,25.020032,30.69
2-Aug-18,16:08:34,0,85
2-Aug-18,16:09:53,27.054108,85
2-Aug-18,16:20:54,0,85
2-Aug-18,16:21:44,0,22
2-Aug-18,16:23:31,0,85
2-Aug-18,16:26:44,0,85
2-Aug-18,16:29:06,12.012012,22.06
2-Aug-18,16:30:00,0,85
2-Aug-18,16:32:10,0,85
2-Aug-18,16:34:59,3.010537,22.5
2-Aug-18,16:35:51,0,22.5
2-Aug-18,16:50:20,0,22.94
2-Aug-18,17:03:21,0,24.19
2-Aug-18,17:04:17,0,23.75
2-Aug-18,17:06:02,0,23.19
2-Aug-18,17:12:18,0,22.87
2-Aug-18,17:13:39,0,22.87
2-Aug-18,17:14:44,0,22.87
2-Aug-18,17:18:45,0,22.87
2-Aug-18,19:03:28,0,21.94
2-Aug-18,19:05:04,0,22.12
2-Aug-18,19:09:00,45.09018,22.44
2-Aug-18,19:15:21,0,22.94
2-Aug-18,19:16:00,0,22.94
2-Aug-18,19:20:43,0,22.87
2-Aug-18,19:26:40,0,22.87
2-Aug-18,19:29:36,0,23.69
2-Aug-18,20:43:02,0,-127
2-Aug-18,20:44:06,0,22.19
2-Aug-18,20:45:52,99.697885,22.31
2-Aug-18,20:53:07,0,22.87
2-Aug-18,20:54:02,0,22.75
2-Aug-18,20:54:43,45.135406,22.75
2-Aug-18,20:56:06,141.141141,22.81
2-Aug-18,21:32:04,0,21.56
2-Aug-18,21:33:42,0,21.69
2-Aug-18,21:34:40,0,21.75
2-Aug-18,22:21:42,0,-127
2-Aug-18,22:24:30,0,-127
2-Aug-18,22:25:09,0,-127
2-Aug-18,22:26:59,0,-127
2-Aug-18,22:28:40,0,-127
2-Aug-18,22:29:23,0,-127
2-Aug-18,22:30:19,105.210421,85
2-Aug-18,22:31:05,60.090135,22
2-Aug-18,22:32:09,0,22.19
2-Aug-18,22:32:36,93.13971,22.25
2-Aug-18,22:33:44,3.004507,22.37
2-Aug-18,22:40:06,3.006012,22.37
2-Aug-18,22:42:58,0,-127
2-Aug-18,22:43:34,15.03006,22.31
2-Aug-18,22:44:06,33.082707,22.12
2-Aug-18,22:44:35,27.013507,22
2-Aug-18,22:44:56,6.113092,21.94
2-Aug-18,22:45:16,0,21.94
2-Aug-18,22:46:05,0,22.12
2-Aug-18,22:48:14,0,22.31
2-Aug-18,22:50:35,3.003003,22.5
2-Aug-18,22:51:10,0,22.56
2-Aug-18,22:51:31,0,22.87
2-Aug-18,22:55:28,0,23.19
2-Aug-18,22:56:00,0,23.06
2-Aug-18,22:56:35,0,23
2-Aug-18,23:07:19,0,22.87
2-Aug-18,23:10:19,0,23.06
2-Aug-18,23:13:17,123.184777,23.25
2-Aug-18,23:14:56,12.036108,23.31
3-Aug-18,12:09:25,0,-127
3-Aug-18,12:10:11,51.987768,85
3-Aug-18,12:10:56,42.084168,22.37
3-Aug-18,12:13:57,0,22.69
3-Aug-18,12:14:18,0,22.75
3-Aug-18,12:16:31,0,22.94
3-Aug-18,12:19:47,0,23.12
3-Aug-18,12:22:41,0,23.25
3-Aug-18,12:23:28,0,23.25
3-Aug-18,12:24:49,0,23.31
3-Aug-18,12:28:05,1.0005,23.31
3-Aug-18,12:42:49,97.113299,23.56
3-Aug-18,12:46:33,42.035029,23
3-Aug-18,12:49:04,7.025761,23.12
3-Aug-18,12:53:49,19.009505,23.12
3-Aug-18,12:55:29,24.012006,23.06
3-Aug-18,12:56:55,8.008008,23
3-Aug-18,13:03:14,49.208201,22.94
3-Aug-18,14:00:43,127.553147,22.06
3-Aug-18,14:06:53,97.532511,22.12
3-Aug-18,14:09:27,169.070446,22.25
3-Aug-18,14:23:40,70.712136,22.19
3-Aug-18,14:26:01,124.041347,22.5
3-Aug-18,14:34:23,143,23.44
3-Aug-18,15:28:34,172.543136,85
3-Aug-18,15:42:30,72.524175,85
3-Aug-18,15:57:31,3.00075,85
3-Aug-18,19:10:23,13.019529,85
